model,corpus,method,admm_controller,admm_rho0,bits,seeds,ppl_mean,ppl_std,delta_ppl_mean,recon_mean,rho_mean
gpt2,wikitext2,admm_gptq,task_feasibility,0.01,4,1,275.02089291931554,0.0,246.0112838944946,0.14646808485290838,0.5995134602958083
gpt2,wikitext2,admm_gptq,task_feasibility,0.1,4,1,910.7848093265103,0.0,881.7752003016893,0.17941620694359595,2.192079791141977
gpt2,wikitext2,admm_gptq,task_feasibility,1.0,4,1,7372.980193590173,0.0,7343.9705845653525,0.17614316451198586,3.988860504252532
gpt2,wikitext2,admm_gptq,task_feasibility,10.0,4,1,1300.5890942477206,0.0,1271.5794852228996,0.17613058471025625,5.422662166986407
gpt2,wikitext2,admm_gptq,task_feasibility,100.0,4,1,1175.925100780681,0.0,1146.91549175586,0.17509410542456472,7.082789233104153
gpt2,wikitext2,fp32,,,,1,29.009609024820953,0.0,0.0,0.0,0.0
