iter,objective,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,status
1,25.623237352381953,0.9719493791539656,1.2304078021430305,1.0,0.9207847111949188,True,0.23579721583025826,0.027800163496650696,running
2,26.212779882632553,0.307968077475985,0.6527245359032079,0.9207847111949188,0.8606605908210907,True,0.27284636488884323,0.03722256941652789,running
3,26.312991360161487,0.1415332818771314,0.270107299783171,0.8606605908210907,0.8110983043068766,True,0.29351314568108805,0.04307498334380381,running
4,26.335019044957942,0.09652574583223252,0.15100845422002213,0.8110983043068766,0.7727360612143178,True,0.2768669572192841,0.03832765599993245,running
5,26.33941170043097,0.076032090408325,0.09392402364219116,0.7727360612143178,0.7459956233278847,True,0.22499833235370348,0.025312124780973805,running
6,26.34458591068353,0.0599839441754753,0.06266221200129853,0.7459956233278847,0.72907580046295,True,0.1605607496314745,0.012889877161110517,running
7,26.349914769003036,0.04726171576114902,0.04265281063444003,0.72907580046295,0.7204876291691072,True,0.08957349645679047,0.004011705633747327,running
8,26.353811077475783,0.03770652523195803,0.02908129033042323,0.7204876291691072,0.7195759998243205,True,0.010231601513144284,5.23428347618882e-05,running
9,26.359033314940845,0.027798738068823013,0.021321539549848587,0.7195759998243205,0.7234381592583892,True,-0.045882159310533854,0.0010525862714986043,running
10,26.361608544669522,0.022003916249718283,0.01430556546758495,0.7234381592583892,0.7329920037584844,True,-0.1185377513354231,0.007025599245829301,running
11,26.363179354902247,0.017724179495055333,0.009651717445245423,0.7329920037584844,0.7490925125403426,True,-0.20589320262650324,0.02119600544389916,running
12,26.364397115827227,0.014356460250941878,0.0067475851936842565,0.7490925125403426,0.7720159435089154,True,-0.2983354720814395,0.04450202695102769,running
13,26.365697905469293,0.010852431117251893,0.004962008042882099,0.7720159435089154,0.8003314070464208,True,-0.3710699315150574,0.0688464470372947,running
14,26.36708555477009,0.007988245290295575,0.0047231926312854755,0.8003314070464208,0.8287591938257306,True,-0.3731366155881828,0.06961546694630165,running
15,26.367750151368043,0.006300667649360051,0.003023894794599938,0.8287591938257306,0.8606179349277712,True,-0.4174082922516682,0.08711484122022703,running
16,26.368203739606095,0.005142006106816053,0.0022518521516809503,0.8606179349277712,0.8966614339049118,True,-0.46888786173711683,0.10992791344220279,running
17,26.368526310119247,0.004222543447523249,0.0017319947358716836,0.8966614339049118,0.9371693958060093,True,-0.5205209167425444,0.13547101238324943,running
18,26.36878951992437,0.00346760622618636,0.0013776988438107306,0.9371693958060093,0.9819399127597719,True,-0.5656781518840894,0.15999588575949947,running
19,26.369128039505373,0.0024672527118532617,0.0015460725662909006,0.9819399127597719,1.022877906098241,True,-0.5086871445824102,0.12938130553170293,running
20,26.369331592251548,0.001907089444198147,0.0010662282225896414,1.022877906098241,1.0629125292305004,True,-0.49056364864146573,0.12032634668421373,running
21,26.369458723722033,0.0014841471815313554,0.0007534655797210957,1.0629125292305004,1.1040620961158878,True,-0.49731922852392785,0.12366320752981738,running
22,26.369555193977828,0.0011579701132159725,0.0006071583833029499,1.1040620961158878,1.1457417846837201,True,-0.4965955087884071,0.12330354967440844,running
23,26.369629299288874,0.0009016348342815575,0.000499763036688127,1.1457417846837201,1.1870779561834075,True,-0.4856466496492642,0.11792633415777758,running
24,26.36968624975956,0.0007000718145976833,0.00041470466890920147,1.1870779561834075,1.2271665438369892,True,-0.46488656754456237,0.10805976034168248,running
25,26.369729850381706,0.0005422484564312959,0.0003460125565813327,1.2271665438369892,1.265125203708903,True,-0.43518862113258994,0.09469456798164246,running
26,26.369763054644018,0.00041933664361591113,0.0002900186873115573,1.265125203708903,1.3001212630096393,True,-0.397526070684032,0.07901348843674301,running
27,26.369788198205008,0.0003241176025318877,0.0002440788853459878,1.3001212630096393,1.3313973124199951,True,-0.3529146885135779,0.06227438868431785,running
28,26.369807131911912,0.0002506891746385905,0.00020618208378240347,1.3313973124199951,1.3582963617382895,True,-0.3024054097302846,0.04572451591707066,running
29,26.369821315703522,0.00019426333359079447,0.00017476130920274005,1.3582963617382895,1.3802848371725882,True,-0.24708124415857835,0.030524570607475505,running
30,26.369831892601848,0.00015099828537330244,0.0001485790145414465,1.3802848371725882,1.3969710480655755,True,-0.1880483975566296,0.01768109991180811,running
31,26.369839749723244,0.00011784884925132665,0.00012665027017862114,1.3969710480655755,1.4081170194467694,True,-0.1264202098023528,0.00799103472323545,running
32,26.369845569282056,9.243075819887931e-05,0.00010818834798344527,1.4081170194467694,1.4136423375268496,True,-0.06329578729177499,0.002003178344442812,running
33,26.369849871162103,7.289861218121838e-05,9.256428898913306e-05,1.4136423375268496,1.4136423375268496,False,0.0002631153289094357,3.461483815356026e-08,converged
