problem,method,seed,iterations,final_objective,best_objective,final_primal,final_dual,final_rho,rho_changes,final_status,precision_relative_error,support_f1,beta_relative_error,signal_relative_error
graphical_lasso,fixed_rho_0.1,0,150,27.543896984228184,25.96330814200276,0.0024716049554854035,2.5549477014019294e-06,0.1,0,running,0.2906588272923425,0.24806201550387597,,
graphical_lasso,fixed_rho_1.0,0,33,27.544548057752976,26.822152393366913,9.844616316217486e-05,9.899248921575366e-05,1.0,0,converged,0.2906817852474738,0.24806201550387597,,
graphical_lasso,fixed_rho_10.0,0,150,27.54459992909735,27.54459992909735,6.876321612821278e-06,0.004191173390274101,10.0,0,running,0.2913608144725542,0.24806201550387597,,
graphical_lasso,residual_balance,0,33,27.544548057752976,26.822152393366913,9.844616316217486e-05,9.899248921575366e-05,1.0,0,converged,0.2906817852474738,0.24806201550387597,,
graphical_lasso,online_ogd,0,32,27.54454516030766,26.822152393366913,9.779177452603964e-05,9.253415643093548e-05,1.729189036852811,32,converged,0.2906802101119244,0.24806201550387597,,
graphical_lasso,online_ogd_epoch3,0,37,27.544547623508958,26.822152393366913,8.412191730763562e-05,1.61660410594103e-05,1.051894069409946,12,converged,0.2906685932372132,0.24806201550387597,,
graphical_lasso,fixed_rho_0.1,1,150,26.36911549302705,24.484144191558297,0.0027190626698761705,2.4968260422085478e-06,0.1,0,running,0.26591482689023604,0.24427480916030533,,
graphical_lasso,fixed_rho_1.0,1,35,26.36985401226557,25.623237352381953,5.3953142980753454e-05,9.998420429488164e-05,1.0,0,converged,0.2659121379809231,0.24242424242424243,,
graphical_lasso,fixed_rho_10.0,1,150,26.36991113498886,26.36991113498886,3.90933436337052e-06,0.004756254244794841,10.0,0,running,0.26557326924326485,0.24242424242424243,,
graphical_lasso,residual_balance,1,35,26.36985401226557,25.623237352381953,5.3953142980753454e-05,9.998420429488164e-05,1.0,0,converged,0.2659121379809231,0.24242424242424243,,
graphical_lasso,online_ogd,1,33,26.369849871162103,25.623237352381953,7.289861218121838e-05,9.256428898913306e-05,1.4136423375268496,32,converged,0.2659144291762029,0.24242424242424243,,
graphical_lasso,online_ogd_epoch3,1,36,26.369846684094053,25.623237352381953,8.581483022663851e-05,3.085919607928786e-05,0.9389542281314517,12,converged,0.2659197578032895,0.24242424242424243,,
graphical_lasso,fixed_rho_0.1,2,150,26.521123049228574,24.694906451185542,0.0027458416697303035,3.0502875253383467e-06,0.1,0,running,0.22266823019070436,0.25,,
graphical_lasso,fixed_rho_1.0,2,42,26.521901053608133,25.899427820002575,7.399637708886957e-05,8.851463940433184e-05,1.0,0,converged,0.22266486544987701,0.2463768115942029,,
graphical_lasso,fixed_rho_10.0,2,150,26.522124811222437,26.522124811222437,1.2579014465186892e-05,0.009360705564715273,10.0,0,running,0.22403828223448483,0.25,,
