iter,objective,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,status
1,5.116007718660244,0.2298064168086078,1.9972972015025139,10.0,10.0,False,0.0,0.0,running
2,4.728042349138033,0.027266031442877713,1.9219084692960655,10.0,10.0,False,0.0,0.0,running
3,4.403911556789535,0.012441713297910523,1.7625427567198537,10.0,10.0,False,0.0,0.0,running
4,4.1343732698831985,0.012471549057717716,1.608318221876877,10.0,10.0,False,0.0,0.0,running
5,3.9101407017750467,0.011642787151059859,1.4672701911783126,10.0,10.0,False,0.0,0.0,running
6,3.723460526010528,0.01097311840470064,1.3390250322281805,10.0,10.0,False,0.0,0.0,running
7,3.567877370491208,0.009759879648573687,1.2225458575653212,10.0,10.0,False,0.0,0.0,running
8,3.4380458850766074,0.008865976201485033,1.1169409425848587,10.0,10.0,False,0.0,0.0,running
9,3.3295660707975965,0.008036703173933303,1.0211100756172105,10.0,10.0,False,0.0,0.0,running
10,3.2387943292028076,0.007320238073935,0.9342043709625808,10.0,10.0,False,0.0,0.0,running
11,3.1627317965684685,0.006668528588347723,0.8553066155544196,10.0,10.0,False,0.0,0.0,running
12,3.09890117938688,0.006080863604024853,0.7836511138366722,10.0,10.0,False,0.0,0.0,running
13,3.0452545054215605,0.005548887837627745,0.7185433617415949,10.0,10.0,False,0.0,0.0,running
14,3.000097906791608,0.005066812476787654,0.6593514621694195,10.0,10.0,False,0.0,0.0,running
15,2.962036823621423,0.004645951799606959,0.6053873863854506,10.0,10.0,False,0.0,0.0,running
16,2.929944633329345,0.004614881658125036,0.5560327342911271,10.0,10.0,False,0.0,0.0,running
17,2.902831965354072,0.0038855665577985847,0.5111232565576328,10.0,10.0,False,0.0,0.0,running
18,2.879894858038373,0.0035644006362343518,0.4701509630090908,10.0,10.0,False,0.0,0.0,running
19,2.860481188376676,0.0035055432095876175,0.4326377916537534,10.0,10.0,False,0.0,0.0,running
20,2.8440176821065557,0.0029824878917487463,0.39845084386864094,10.0,10.0,False,0.0,0.0,running
21,2.8300353143273407,0.002732724687986758,0.36725665641626576,10.0,10.0,False,0.0,0.0,running
22,2.8181438702627055,0.0025091047720214215,0.33873742046472527,10.0,10.0,False,0.0,0.0,running
23,2.808016870321477,0.002305395319958429,0.3126458838425369,10.0,10.0,False,0.0,0.0,running
24,2.7993807712406755,0.002119636628357737,0.2887602170689286,10.0,10.0,False,0.0,0.0,running
25,2.792006094790966,0.0019501582197091816,0.26688001056956756,10.0,10.0,False,0.0,0.0,running
26,2.7857000878786997,0.0017954412882024286,0.24682407452551108,10.0,10.0,False,0.0,0.0,running
27,2.780300641523394,0.001654111277187898,0.22842852088971582,10.0,10.0,False,0.0,0.0,running
28,2.7756712472443144,0.0015249273306733565,0.2115450406151842,10.0,10.0,False,0.0,0.0,running
29,2.7716968091818655,0.001406769788464294,0.19603935692872587,10.0,10.0,False,0.0,0.0,running
30,2.76828001556877,0.0012929011318284244,0.18179370531598824,10.0,10.0,False,0.0,0.0,running
31,2.7653381897710787,0.0011943132122420625,0.16871352279518348,10.0,10.0,False,0.0,0.0,running
32,2.762801620412654,0.0011039437548228215,0.1566881961385842,10.0,10.0,False,0.0,0.0,running
33,2.760611321132711,0.0010210811773183155,0.1456248545893163,10.0,10.0,False,0.0,0.0,running
34,2.758717309948978,0.0009450712306156513,0.1354394738847837,10.0,10.0,False,0.0,0.0,running
35,2.757077177359199,0.0008753056362229876,0.1260558452762752,10.0,10.0,False,0.0,0.0,running
36,2.755654890245119,0.0008112313930880205,0.11740482147428813,10.0,10.0,False,0.0,0.0,running
37,2.7544197916238056,0.0007523473544177948,0.10942363042348711,10.0,10.0,False,0.0,0.0,running
38,2.7533524739841293,0.0010517672070711657,0.10173050180251253,10.0,10.0,False,0.0,0.0,running
39,2.7524254704631907,0.0006743651928298284,0.09481318426307031,10.0,10.0,False,0.0,0.0,running
40,2.751619020185553,0.0006121838351234348,0.08844164402799473,10.0,10.0,False,0.0,0.0,running
41,2.7509213168765654,0.0008184487938600707,0.0822102498501038,10.0,10.0,False,0.0,0.0,running
42,2.7503149680026078,0.0005834989420688991,0.07670490009824968,10.0,10.0,False,0.0,0.0,running
43,2.7497863386449586,0.0004979975466806453,0.07162593481058943,10.0,10.0,False,0.0,0.0,running
44,2.749324926790093,0.00046129226627869075,0.06692502526539927,10.0,10.0,False,0.0,0.0,running
45,2.748921750948275,0.00042951222067326076,0.0625667189509997,10.0,10.0,False,0.0,0.0,running
46,2.748569092373081,0.00040046338257771163,0.05852280137976392,10.0,10.0,False,0.0,0.0,running
47,2.7482603052289605,0.00037365232874551376,0.05476820063940852,10.0,10.0,False,0.0,0.0,running
48,2.7479896600258047,0.00034884286840515755,0.05128013058297569,10.0,10.0,False,0.0,0.0,running
49,2.7477522114664756,0.00032586110690495737,0.04803777487174979,10.0,10.0,False,0.0,0.0,running
50,2.7475436862582314,0.00030455706966240514,0.04502208581167011,10.0,10.0,False,0.0,0.0,running
51,2.747360387662682,0.0002847957113001955,0.042215619707342944,10.0,10.0,False,0.0,0.0,running
52,2.7471991141735344,0.00026645409829721207,0.03960239155052642,10.0,10.0,False,0.0,0.0,running
53,2.7470570901476474,0.0002494199853612044,0.037167744276846014,10.0,10.0,False,0.0,0.0,running
54,2.7469319065641282,0.00023359076784018555,0.03489823054548934,10.0,10.0,False,0.0,0.0,running
55,2.7468216308966853,0.00023451538655899472,0.032744411353214584,10.0,10.0,False,0.0,0.0,running
56,2.7467244987548307,0.00023403100421200092,0.030746448106583592,10.0,10.0,False,0.0,0.0,running
57,2.7466387439106543,0.0001944685248786705,0.028890642143775104,10.0,10.0,False,0.0,0.0,running
58,2.7465629690351636,0.00018138893524646027,0.02715963954181292,10.0,10.0,False,0.0,0.0,running
59,2.7464959620696954,0.00017009588296723862,0.02554214785546864,10.0,10.0,False,0.0,0.0,running
60,2.746436665697522,0.0001596696035716887,0.024029632508222907,10.0,10.0,False,0.0,0.0,running
61,2.746384155882146,0.00014995720285375307,0.02261455664614137,10.0,10.0,False,0.0,0.0,running
62,2.74633762420421,0.00014089316767691788,0.02129001809479397,10.0,10.0,False,0.0,0.0,running
