iter,objective,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,status
1,7.202331269865444,1.3722321437282607,2.1596661551542957,1.0,1.0,False,0.0,0.0,running
2,3.7264993517406007,0.45153061810421447,1.4877746590526597,1.0,1.0,False,0.0,0.0,running
3,2.7628570892893745,0.3703995412030775,0.8700536056624238,1.0,1.0,False,0.0,0.0,running
4,2.5285336246425767,0.3065111286975817,0.4789539979742085,1.0,1.0,False,0.0,0.0,running
5,2.473046608878477,0.22217971223687386,0.2567684780295446,1.0,1.0,False,0.0,0.0,running
6,2.45783204732921,0.1506212872971391,0.13888679127127598,1.0,1.0,False,0.0,0.0,running
7,2.452838052028153,0.09983294551979453,0.07595602777560273,1.0,1.0,False,0.0,0.0,running
8,2.4507887046131516,0.06381839323033345,0.04346005897663861,1.0,1.0,False,0.0,0.0,running
9,2.4499314408258726,0.04118789266037596,0.02552075951595858,1.0,1.0,False,0.0,0.0,running
10,2.449581696272872,0.02675743663899243,0.015183165813106652,1.0,1.0,False,0.0,0.0,running
11,2.4494380790471766,0.017485442094935914,0.009249788953096588,1.0,1.0,False,0.0,0.0,running
12,2.4493754966116708,0.01146020413168166,0.005930461644747428,1.0,1.0,False,0.0,0.0,running
13,2.4493470111610085,0.007573560304771541,0.004006670216597241,1.0,1.0,False,0.0,0.0,running
14,2.4493337857928354,0.005047340239030904,0.002777261849310078,1.0,1.0,False,0.0,0.0,running
15,2.4493275939042523,0.0033905311981023887,0.001946392702054898,1.0,1.0,False,0.0,0.0,running
16,2.4493247055314438,0.0022959877723387283,0.0013640264336330964,1.0,1.0,False,0.0,0.0,running
17,2.4493233748801875,0.0015680956611668977,0.0009492264281713813,1.0,1.0,False,0.0,0.0,running
18,2.449322772422563,0.0010803744655823579,0.0006533663756880704,1.0,1.0,False,0.0,0.0,running
19,2.449322504643746,0.0007505631335040735,0.000444003053090155,1.0,1.0,False,0.0,0.0,running
20,2.4493223875483148,0.0005251816073409284,0.00029778051577971347,1.0,1.0,False,0.0,0.0,running
21,2.4493223369518056,0.00036952049832219885,0.00019722187900590287,1.0,1.0,False,0.0,0.0,running
22,2.449322315229261,0.0002610003722587385,0.0001291504687207406,1.0,1.0,False,0.0,0.0,running
23,2.4493223059114744,0.0001847958433063022,8.375226579383346e-05,1.0,1.0,False,0.0,0.0,running
24,2.449322301899311,0.00013102148526097105,5.3877002972424396e-05,1.0,1.0,False,0.0,0.0,running
25,2.449322300158806,9.296582509653427e-05,3.44443547705875e-05,1.0,1.0,False,0.0,0.0,converged
