iter,objective,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,status
1,24.694906451185542,2.34171356767095,0.18581521046160313,0.1,0.1,False,0.0,0.0,running
2,24.812527413138948,1.9766258543400896,0.04123968152865232,0.1,0.1,False,0.0,0.0,running
3,25.13960118421404,1.479849788036062,0.07937685443915918,0.1,0.1,False,0.0,0.0,running
4,25.44457959681751,1.1097392070301877,0.06895927817362754,0.1,0.1,False,0.0,0.0,running
5,25.59966285078625,0.9381422768174821,0.03706935694232898,0.1,0.1,False,0.0,0.0,running
6,25.69585419416195,0.8261417304941379,0.021701772847096058,0.1,0.1,False,0.0,0.0,running
7,25.781781093865362,0.7387473380827068,0.021195789834232155,0.1,0.1,False,0.0,0.0,running
8,25.85075302240209,0.6609837470270331,0.015824506602649002,0.1,0.1,False,0.0,0.0,running
9,25.946966648923404,0.5766593458826774,0.022234788954771018,0.1,0.1,False,0.0,0.0,running
10,26.008741748829053,0.515042634505243,0.012885674327390174,0.1,0.1,False,0.0,0.0,running
11,26.0726145176109,0.46192559512153253,0.012930758975669546,0.1,0.1,False,0.0,0.0,running
12,26.10772028558151,0.43115646370721966,0.007770311522809649,0.1,0.1,False,0.0,0.0,running
13,26.15012049429792,0.38864679960950294,0.009944315993332623,0.1,0.1,False,0.0,0.0,running
14,26.20542205497437,0.3389593463838324,0.012840239645888978,0.1,0.1,False,0.0,0.0,running
15,26.236106163115245,0.312169513765825,0.0068773281458101845,0.1,0.1,False,0.0,0.0,running
16,26.257506417447974,0.2929382845570211,0.004713201010275211,0.1,0.1,False,0.0,0.0,running
17,26.283759335038702,0.2698635628525729,0.006762576881514224,0.1,0.1,False,0.0,0.0,running
18,26.29624133381194,0.2569856526819325,0.0025482899866181366,0.1,0.1,False,0.0,0.0,running
19,26.321473839462495,0.232996884529783,0.007054770608915119,0.1,0.1,False,0.0,0.0,running
20,26.344091998764174,0.20996604954377143,0.0055365949157043445,0.1,0.1,False,0.0,0.0,running
21,26.366363224144877,0.19214662015969813,0.005533933593696154,0.1,0.1,False,0.0,0.0,running
22,26.377443640682436,0.18166950489262754,0.0029199042785049353,0.1,0.1,False,0.0,0.0,running
23,26.386197954578694,0.1720517147585063,0.002586413771436232,0.1,0.1,False,0.0,0.0,running
24,26.39228430998725,0.16498099259717994,0.0010539118499955382,0.1,0.1,False,0.0,0.0,running
25,26.40699176304993,0.1488121185921264,0.004792183135797775,0.1,0.1,False,0.0,0.0,running
26,26.416969853281927,0.1394594429522686,0.0025729036449085433,0.1,0.1,False,0.0,0.0,running
27,26.425234601126256,0.1323319498872074,0.00217266001043028,0.1,0.1,False,0.0,0.0,running
28,26.43126108554535,0.12508104557151828,0.0019800856064534265,0.1,0.1,False,0.0,0.0,running
29,26.436128119585163,0.11951696496289439,0.0012353504571548776,0.1,0.1,False,0.0,0.0,running
30,26.443743233553196,0.11117834560545964,0.0025297108601940077,0.1,0.1,False,0.0,0.0,running
31,26.451094722030994,0.10299745995010039,0.0031322446026265764,0.1,0.1,False,0.0,0.0,running
32,26.453622351091518,0.09928558881304532,0.0002600560215756093,0.1,0.1,False,0.0,0.0,running
33,26.457736172803525,0.09461501598436159,0.001687312633617531,0.1,0.1,False,0.0,0.0,running
34,26.461658543436318,0.08935306789711066,0.0016423253720604454,0.1,0.1,False,0.0,0.0,running
35,26.465015113750077,0.08503803581566532,0.0009655007033643163,0.1,0.1,False,0.0,0.0,running
36,26.4704540826666,0.07880249665278224,0.0018690453408284078,0.1,0.1,False,0.0,0.0,running
37,26.4761281682136,0.07253623878994306,0.0020632090858832583,0.1,0.1,False,0.0,0.0,running
38,26.478831203568575,0.06961440969059605,0.0007341702469281126,0.1,0.1,False,0.0,0.0,running
39,26.480680062614933,0.06726977608890948,0.0005440337315598302,0.1,0.1,False,0.0,0.0,running
40,26.481963680036085,0.06514355620473598,0.00014351545689875544,0.1,0.1,False,0.0,0.0,running
41,26.484478158990164,0.06123304270614144,0.00113832715746715,0.1,0.1,False,0.0,0.0,running
42,26.487182527319668,0.05812951917419956,0.0010312689177355337,0.1,0.1,False,0.0,0.0,running
43,26.48853793960025,0.05630627748887405,0.0002996590466948438,0.1,0.1,False,0.0,0.0,running
44,26.48957634424305,0.05461489563237779,0.00010162002038098533,0.1,0.1,False,0.0,0.0,running
45,26.49113271436188,0.05253554404666206,0.0005032342672508369,0.1,0.1,False,0.0,0.0,running
46,26.492803425782643,0.050690044664615526,0.0004886756398929267,0.1,0.1,False,0.0,0.0,running
47,26.49387087763254,0.04912622254307672,0.0001740271206770489,0.1,0.1,False,0.0,0.0,running
48,26.49521969285874,0.047504374710999143,0.000455999599609842,0.1,0.1,False,0.0,0.0,running
49,26.495993192673215,0.04618967624449627,8.088200082894244e-05,0.1,0.1,False,0.0,0.0,running
50,26.497153461524054,0.04409142673907883,0.00034740870996112326,0.1,0.1,False,0.0,0.0,running
51,26.49964704493285,0.04140269235655592,0.0010795713405778611,0.1,0.1,False,0.0,0.0,running
52,26.50172946565792,0.03863318809345182,0.0008950114613258606,0.1,0.1,False,0.0,0.0,running
53,26.502704879569162,0.03741345780147132,0.00036885825571554966,0.1,0.1,False,0.0,0.0,running
54,26.50325864840975,0.03639289936044625,6.40589334285715e-05,0.1,0.1,False,0.0,0.0,running
55,26.503794138585455,0.03540869241874364,6.154407728285918e-05,0.1,0.1,False,0.0,0.0,running
56,26.504311572583685,0.03445969160520981,5.927458618757987e-05,0.1,0.1,False,0.0,0.0,running
57,26.504811682877854,0.033544099835560684,5.710820167410798e-05,0.1,0.1,False,0.0,0.0,running
58,26.505370297647353,0.032544132708397136,8.622903552459922e-05,0.1,0.1,False,0.0,0.0,running
59,26.50641988659652,0.031269711066107334,0.000522773455264142,0.1,0.1,False,0.0,0.0,running
60,26.506843916226885,0.030460220302411533,5.351415133262395e-05,0.1,0.1,False,0.0,0.0,running
61,26.507326632016216,0.02948540939837283,7.785919641567055e-05,0.1,0.1,False,0.0,0.0,running
62,26.509511386690797,0.026450270586108167,0.001068335871535733,0.1,0.1,False,0.0,0.0,running
63,26.509987252856355,0.0257372245746955,0.00012949025027983698,0.1,0.1,False,0.0,0.0,running
64,26.51031985476884,0.02507321802228605,4.165067978471971e-05,0.1,0.1,False,0.0,0.0,running
65,26.51064184876881,0.024433377854051152,3.8940679937600645e-05,0.1,0.1,False,0.0,0.0,running
66,26.51095373272054,0.023815311526081486,3.739176602686118e-05,0.1,0.1,False,0.0,0.0,running
67,26.5112558078919,0.023217834603641224,3.6044174662895627e-05,0.1,0.1,False,0.0,0.0,running
68,26.511548392624608,0.02263993527620217,3.479224822422244e-05,0.1,0.1,False,0.0,0.0,running
69,26.51221756245417,0.021472048975711235,0.0003426159534253749,0.1,0.1,False,0.0,0.0,running
70,26.512723857452286,0.02083422899133886,0.00022365896861174128,0.1,0.1,False,0.0,0.0,running
71,26.5131502584258,0.019790570422105584,0.00015827226417419605,0.1,0.1,False,0.0,0.0,running
72,26.51407367879151,0.018332594992080068,0.000606957984192125,0.1,0.1,False,0.0,0.0,running
73,26.514837063633482,0.016798549135847933,0.00047679650265082855,0.1,0.1,False,0.0,0.0,running
74,26.515195807955596,0.01630481993771897,0.00015645390573835593,0.1,0.1,False,0.0,0.0,running
75,26.515383767468062,0.015888584185481957,2.5075544979700327e-05,0.1,0.1,False,0.0,0.0,running
76,26.515566593413297,0.015485564824492875,2.361358591391693e-05,0.1,0.1,False,0.0,0.0,running
77,26.515743607740585,0.015095281943154012,2.2823549448703767e-05,0.1,0.1,False,0.0,0.0,running
78,26.515914980274722,0.014717179592158049,2.2094195022952332e-05,0.1,0.1,False,0.0,0.0,running
79,26.516166930033297,0.0141420567063224,7.89837412629581e-05,0.1,0.1,False,0.0,0.0,running
80,26.516717715165264,0.013345039243994937,0.000349134996985611,0.1,0.1,False,0.0,0.0,running
81,26.516863444880737,0.012997613855087147,2.3210138036631038e-05,0.1,0.1,False,0.0,0.0,running
82,26.517005421323322,0.012665837097094507,1.9389380305838318e-05,0.1,0.1,False,0.0,0.0,running
83,26.517143133937704,0.012344475237454014,1.8673454276408905e-05,0.1,0.1,False,0.0,0.0,running
84,26.517276642025664,0.012032956859232214,1.807307705502005e-05,0.1,0.1,False,0.0,0.0,running
85,26.517415060176496,0.011729761642788144,1.9234003755989273e-05,0.1,0.1,False,0.0,0.0,running
86,26.51756559919959,0.011434338486050702,2.4096895685889435e-05,0.1,0.1,False,0.0,0.0,running
