model,corpus,device,seed,method,bits,loss,ppl,delta_loss,delta_ppl,eval_tokens,num_quantized_modules,mean_module_recon_error,median_module_recon_error,max_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,quantize_wall_time_sec,eval_wall_time_sec
gpt2,wikitext2,cuda,0,fp32,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,4.32971864938736e-06,2.882075139321387
gpt2,wikitext2,cuda,0,rtn,3,41.51167487414507,485165195.4097903,38.144047753357974,485165166.40018123,285696,49,0.3923265237498133,0.2815380316830097,0.9312766013769311,0.0,0.0,0.0,0.6942813452333212,2.8759938813745975
gpt2,wikitext2,cuda,0,gptq_proxy,3,16.20730410340012,10933085.354083756,12.839676982613021,10933056.344474731,285696,49,0.3022889928924439,0.2454553945427251,0.8516892468296272,0.0,0.0,0.0,5.806638149544597,2.8815385857596993
gpt2,wikitext2,cuda,0,awq_proxy,3,11.48891647571304,97627.69337140203,8.121289354925942,97598.6837623772,285696,49,0.3615907667640516,0.27672756899718626,0.8735240552583639,0.0,0.0,0.0,1.269368632696569,2.881500200368464
gpt2,wikitext2,cuda,0,admm_gptq,3,18.291204565314835,87855551.65563868,14.923577444527737,87855522.64602965,285696,49,0.45807468435052,0.30171565731848826,2.382414834360012,1.5301691443998524,21.12813926376568,5.582349356844626,168.70296654943377,2.88209727127105
gpt2,wikitext2,cuda,0,fp32,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0269694030284882e-05,2.880286291241646
gpt2,wikitext2,cuda,0,rtn,4,13.045498301051424,463007.3932351809,9.677871180264326,462978.3836261561,285696,49,0.17679705466132786,0.13147183790614295,0.42054572376658744,0.0,0.0,0.0,0.6505123497918248,2.8733600145205855
gpt2,wikitext2,cuda,0,gptq_proxy,4,5.677222597129028,292.1369201905713,2.309595476341931,263.1273111657503,285696,49,0.1326647963538977,0.10743149939101085,0.37218747732403157,0.0,0.0,0.0,5.661594310775399,2.8750962568446994
gpt2,wikitext2,cuda,0,awq_proxy,4,6.330247181718067,561.2953186483743,2.96262006093097,532.2857096235533,285696,49,0.16084898996206046,0.1267899137290027,0.34716798098697504,0.0,0.0,0.0,1.2590160006657243,2.879422614350915
gpt2,wikitext2,cuda,0,admm_gptq,4,8.90557727164265,7372.980193590173,5.537950150855553,7343.9705845653525,285696,49,0.17614316451198586,0.13106689385128106,0.42343168994027813,0.8048420040997887,8.29218703924827,3.988860504252532,168.93329423759133,2.8708061622455716
gpt2,wikitext2,cuda,1,fp32,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5120021998882294e-05,2.8988659912720323
gpt2,wikitext2,cuda,1,rtn,3,41.51167487414507,485165195.4097903,38.144047753357974,485165166.40018123,285696,49,0.3924441238999861,0.28133261659850894,0.9335340436501393,0.0,0.0,0.0,0.6284053707495332,2.871255612000823
gpt2,wikitext2,cuda,1,gptq_proxy,3,14.057114795971943,1273290.1732311023,10.689487675184846,1273261.1636220776,285696,49,0.3026623650583241,0.24406010767974945,0.8575668468625367,0.0,0.0,0.0,5.670337161980569,2.871677991002798
gpt2,wikitext2,cuda,1,awq_proxy,3,12.317460241283568,223565.61766388887,8.949833120496471,223536.60805486405,285696,49,0.3615395073036882,0.276440761266643,0.8646631831204535,0.0,0.0,0.0,1.269396555610001,2.870648818090558
gpt2,wikitext2,cuda,1,admm_gptq,3,15.466341610023198,5211308.897078073,12.098714489236102,5211279.887469048,285696,49,0.4569859700371335,0.3012446646776422,2.320644345630063,1.5028507745644213,20.104713468655657,5.5104090040265294,167.69322643242776,2.8753417124971747
gpt2,wikitext2,cuda,1,fp32,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,8.069910109043121e-06,2.8788008000701666
gpt2,wikitext2,cuda,1,rtn,4,13.045498301051424,463007.3932351809,9.677871180264326,462978.3836261561,285696,49,0.17669133248780505,0.13130413196399796,0.4213600607699069,0.0,0.0,0.0,0.6334300227463245,2.8783470690250397
gpt2,wikitext2,cuda,1,gptq_proxy,4,5.8345206561481655,341.90080671499663,2.466893535361068,312.89119769017566,285696,49,0.13398854099433183,0.10752285750448826,0.4281315809756095,0.0,0.0,0.0,5.688959411345422,2.8703415635973215
gpt2,wikitext2,cuda,1,awq_proxy,4,5.4657165047088405,236.44520853565027,2.098089383921743,207.43559951082932,285696,49,0.16075666874480884,0.12633812545109482,0.3478718149129808,0.0,0.0,0.0,1.2676462261006236,2.869624479673803
gpt2,wikitext2,cuda,1,admm_gptq,4,6.582552713305292,722.3810092223212,3.2149255925181945,693.3714001975002,285696,49,0.17588525194598276,0.1309858764846335,0.42417732389698554,0.772482380207526,7.965221670547114,3.883659400694188,168.50712516251951,2.8754296004772186
gpt2,wikitext2,cuda,2,fp32,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.4400109648704529e-05,2.900693499483168
