model,corpus,device,seed,method,admm_controller,admm_rho0,bits,loss,ppl,delta_loss,delta_ppl,eval_tokens,num_quantized_modules,mean_module_recon_error,median_module_recon_error,max_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,quantize_wall_time_sec,eval_wall_time_sec
gpt2,wikitext2,cuda,0,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,3.6498531699180603e-06,5.5424969820305705
gpt2,wikitext2,cuda,0,admm_gptq,task_norm_magnitude,1.0,4,5.8331169005363215,341.42119824417455,2.465489779749224,312.4115892193536,285696,49,0.16756168074712388,0.11921657043219805,0.42198842961697425,8.288371490850245,0.9558957788751811,0.327811829741138,66.08355605974793,4.891015415079892
gpt2,wikitext2,cuda,1,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5130266547203064e-05,5.662765448912978
gpt2,wikitext2,cuda,1,admm_gptq,task_norm_magnitude,1.0,4,5.925138246201272,374.33018150895043,2.557511125414175,345.32057248412946,285696,49,0.16719861572619155,0.11881356131306434,0.4229567720536953,8.394220366829511,0.9671132715499376,0.32913387449048226,66.25124724395573,4.847210738807917
gpt2,wikitext2,cuda,2,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.5390105545520782e-05,5.60821418184787
gpt2,wikitext2,cuda,2,admm_gptq,task_norm_magnitude,1.0,4,6.221841306242037,503.6297153272349,2.854214185454939,474.62010630241394,285696,49,0.1673083487759038,0.11842566347447772,0.42347293689320137,8.442125456720195,0.9696590002877429,0.328954589425619,69.82710290700197,5.537970499135554
gpt2,wikitext2,cuda,3,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.3809651136398315e-05,4.8912329925224185
gpt2,wikitext2,cuda,3,admm_gptq,task_norm_magnitude,1.0,4,5.824863129619202,338.6147835716911,2.457236008832105,309.6051745468701,285696,49,0.16738107886364328,0.11818305385507176,0.4221700860377879,8.40331342104769,0.9675011916531043,0.3286834711321085,68.19130726438016,5.248235595412552
gpt2,wikitext2,cuda,4,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.9679777324199677e-05,4.750973217189312
gpt2,wikitext2,cuda,4,admm_gptq,task_norm_magnitude,1.0,4,5.742007383736231,311.68946377142765,2.374380262949134,282.6798547466067,285696,49,0.16758432962897882,0.11897682423508328,0.42173347270392053,8.332251197683924,0.9595821535322544,0.329802823192531,70.6923388261348,5.037146154791117
