model,corpus,method,admm_controller,admm_rho0,bits,seeds,ppl_mean,ppl_std,delta_ppl_mean,recon_mean,rho_mean
gpt2,wikitext2,admm_gptq,task_norm_magnitude,1.0,3,5,344012550.0589127,177441649.6786597,344012521.0493037,0.35048914230453243,0.06759041268493174
gpt2,wikitext2,fp32,,,,5,29.009609024820953,0.0,0.0,0.0,0.0
