model,device,cache_dir,method,bits,loss,ppl,delta_loss,num_eval_tokens,num_quantized_modules,mean_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,wall_time_sec
gpt2,cuda,/dataMeR2/yutong/hf_cache,fp32,,4.731170177459717,113.42821586094418,0.0,128,0,0.0,0.0,0.0,0.0,0.005762397311627865
gpt2,cuda,/dataMeR2/yutong/hf_cache,rtn,4,4.7680768966674805,117.69268898570074,0.03690671920776367,128,16,0.1783808011095971,0.0,0.0,0.0,0.21195407584309578
gpt2,cuda,/dataMeR2/yutong/hf_cache,admm_gptq,4,4.751405239105225,115.74682225919632,0.020235061645507812,128,16,0.173668519997235,0.39042361411968146,1.5098999874995627,3.6289693069919005,290.2502410011366
