model,device,method,bits,loss,ppl,delta_loss,num_eval_tokens,num_quantized_modules,mean_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,wall_time_sec
random_tiny_gpt2,cpu,fp32,,4.840723514556885,126.56088725674127,0.0,192,0,0.0,0.0,0.0,0.0,0.05268620001152158
random_tiny_gpt2,cpu,rtn,4,4.840744654337565,126.56356275442023,2.11397806806346e-05,192,6,0.10051614418625832,0.0,0.0,0.0,0.06432270002551377
random_tiny_gpt2,cpu,admm_gptq,4,4.840689659118652,126.55660255497074,-3.3855438232421875e-05,192,6,0.09931415754957311,0.0032009153960282943,0.006113128114181844,1.1994018750193802,0.11089049995644018
