model,corpus,method,admm_controller,admm_rho0,bits,seeds,ppl_mean,ppl_std,delta_ppl_mean,recon_mean,rho_mean
gpt2,wikitext2,admm_gptq,bal_ogd,1.0,4,1,3326.326088097433,0.0,3297.3164790726123,0.17680727338506466,1.1330706618113475
gpt2,wikitext2,fp32,,,,1,29.009609024820953,0.0,0.0,0.0,0.0
