model,corpus,method,admm_controller,admm_rho0,bits,seeds,ppl_mean,ppl_std,delta_ppl_mean,recon_mean,rho_mean
gpt2,wikitext2,admm_gptq,task_norm_magnitude,1.0,4,4,371.23168394292486,34.574299004811174,342.2220749181039,0.16180489216420874,0.26813234398717084
gpt2,wikitext2,fp32,,,,4,29.009609024820953,0.0,0.0,0.0,0.0
