model,corpus,device,seed,method,admm_controller,admm_rho0,bits,loss,ppl,delta_loss,delta_ppl,eval_tokens,num_quantized_modules,mean_module_recon_error,median_module_recon_error,max_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,quantize_wall_time_sec,eval_wall_time_sec
gpt2,wikitext2,cuda,1,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,2.15042382478714e-06,2.888787236995995
gpt2,wikitext2,cuda,1,admm_gptq,task_norm_magnitude,1.0,4,6.010466727731903,407.6735484286857,2.642839606944806,378.66393940386473,285696,49,0.16181770937978796,0.10125622533504444,0.4274202423605459,10.790163174571306,0.34230442435807806,0.2683044327238473,195.80140445195138,5.483782663941383
gpt2,wikitext2,cuda,2,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.912936568260193e-05,5.180643904954195
gpt2,wikitext2,cuda,2,admm_gptq,task_norm_magnitude,1.0,4,5.889451852408788,361.20723522124763,2.521824731621691,332.19762619642665,285696,49,0.16171385115600187,0.10064611209121471,0.42814613028426357,10.7078679205133,0.3472641231277776,0.2668345043085363,201.03776258137077,5.189530019648373
gpt2,wikitext2,cuda,3,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,2.0789913833141327e-05,5.411637328565121
gpt2,wikitext2,cuda,3,admm_gptq,task_norm_magnitude,1.0,4,5.983379951941925,396.7791989128202,2.6157528311548273,367.76958988799925,285696,49,0.16173653134630175,0.10137024670856125,0.42730626664363014,10.826620536640904,0.343181588240508,0.26851894919285696,179.8824990298599,2.8821949074044824
gpt2,wikitext2,cuda,4,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.337006688117981e-05,2.9052695352584124
gpt2,wikitext2,cuda,4,admm_gptq,task_norm_magnitude,1.0,4,5.766026970306178,319.26675320894594,2.3983998495190804,290.25714418412497,285696,49,0.16195147677474336,0.10153347880917558,0.42653357971604844,10.656330841263511,0.3410607293481081,0.2688714897234427,166.59884621575475,2.8830685252323747
