model,corpus,device,seed,method,admm_controller,admm_rho0,bits,loss,ppl,delta_loss,delta_ppl,eval_tokens,num_quantized_modules,mean_module_recon_error,median_module_recon_error,max_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,quantize_wall_time_sec,eval_wall_time_sec
gpt2,wikitext2,cuda,0,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,4.590488970279694e-06,2.8967297906056046
gpt2,wikitext2,cuda,0,admm_gptq,task_norm_magnitude,1.0,4,9.064008066731114,8638.70586755098,5.696380945944017,8609.696258526159,285696,49,0.17518449662613625,0.12186050834512238,0.43944606201840825,14.161560620452638,0.3063830569721381,0.2732947250334382,370.67222145199776,2.9094122918322682
gpt2,wikitext2,cuda,1,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,1.531001180410385e-05,2.961827608756721
gpt2,wikitext2,cuda,1,admm_gptq,task_norm_magnitude,1.0,4,8.94273613174329,7652.105607382189,5.575109010956193,7623.095998357368,285696,49,0.17472670404136573,0.12546608434081238,0.4399282946405989,14.144832077990529,0.31633419505599775,0.281200660942949,421.17507001943886,2.9807677548378706
gpt2,wikitext2,cuda,2,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,4.240032285451889e-05,2.916979390196502
gpt2,wikitext2,cuda,2,admm_gptq,task_norm_magnitude,1.0,4,9.315343415865334,11107.139912408275,5.947716295078236,11078.130303383454,285696,49,0.17603812408202638,0.12641587309177504,0.44229723911504926,13.910547658568008,0.3176345402457575,0.2759320611966805,487.5561122177169,3.2188439164310694
gpt2,wikitext2,cuda,3,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,4.367996007204056e-05,3.545091798529029
gpt2,wikitext2,cuda,3,admm_gptq,task_norm_magnitude,1.0,4,9.335713123335205,11335.709144243123,5.968086002548108,11306.699535218302,285696,49,0.17520483399703174,0.12403543948868591,0.43967304276531755,14.10151214298981,0.31110207551301383,0.2740229674611119,513.4708543866873,3.247465278953314
gpt2,wikitext2,cuda,4,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,5.2791088819503784e-05,3.3217463828623295
gpt2,wikitext2,cuda,4,admm_gptq,task_norm_magnitude,1.0,4,9.39595858256022,12039.625124752945,6.028331461773123,12010.615515728125,285696,49,0.17472724054796124,0.1286002439955569,0.4375687943480259,14.052760538809428,0.32142552848194356,0.27498196910162476,547.606235939078,3.388448128476739
