model,corpus,method,admm_controller,admm_rho0,bits,seeds,ppl_mean,ppl_std,delta_ppl_mean,recon_mean,rho_mean
gpt2,wikitext2,admm_gptq,task_feasibility,0.01,4,1,361.5993124177198,0.0,332.5897033928988,0.14610828465642556,0.599549011325695
gpt2,wikitext2,fp32,,,,1,29.009609024820953,0.0,0.0,0.0,0.0
