model,corpus,device,seed,method,admm_controller,admm_rho0,bits,loss,ppl,delta_loss,delta_ppl,eval_tokens,num_quantized_modules,mean_module_recon_error,median_module_recon_error,max_module_recon_error,mean_final_primal,mean_final_dual,mean_final_rho,quantize_wall_time_sec,eval_wall_time_sec
gpt2,wikitext2,cuda,2,fp32,,,,3.3676271207870974,29.009609024820953,0.0,0.0,285696,0,0.0,0.0,0.0,0.0,0.0,0.0,3.769993782043457e-06,5.358530736528337
gpt2,wikitext2,cuda,2,admm_gptq,task_feasibility,0.01,4,5.890536727016545,361.5993124177198,2.5229096062294474,332.5897033928988,285696,49,0.14610828465642556,0.09656625277629077,0.4015250125920512,2.0316068211137197,1.1312641694045267,0.599549011325695,208.38040964119136,5.390249917283654
