model,corpus,method,admm_controller,admm_rho0,bits,seeds,ppl_mean,ppl_std,delta_ppl_mean,recon_mean,rho_mean
gpt2,wikitext2,admm_gptq,task_feasibility,1.0,4,1,7372.980193590173,0.0,7343.9705845653525,0.17614316451198586,3.988860504252532
gpt2,wikitext2,fp32,,,,1,29.009609024820953,0.0,0.0,0.0,0.0
