problem,method,deploy_rel_error,deploy_rel_error_std,best_deploy_rel_error,final_primal,final_dual,final_residual_max,log_residual_auc,log_primal_auc,final_rho,rho_changes
tiny_llm_ptq,fixed_rho_0p1,0.3620639896637578,0.007553433431381631,0.2515446575139601,8.960523076126405,1.4094907490528314,8.960523076126405,0.9550098934964555,0.9550098934964555,0.10000000000000002,0.0
tiny_llm_ptq,fixed_rho_1,0.33935015879784053,0.010329501460990462,0.25117070196420066,7.066927721650863,9.823809069484216,9.823809069484216,0.9870514622406931,0.8495112832100667,1.0,0.0
tiny_llm_ptq,fixed_rho_10,0.2781653946794078,0.015499256517298311,0.2518324345522296,2.1874826276734334,28.211313284234972,28.211313284234972,1.43018531030729,0.33367531155863045,10.0,0.0
tiny_llm_ptq,online_ogd_balance,0.3493487123330981,0.007662024824872708,0.25117070196420066,7.642893797358163,7.750096891295979,7.750096891295979,0.9637273701169992,0.8536852798257962,0.7211891494404282,100.0
tiny_llm_ptq,online_ogd_norm_magnitude,0.3678795580438144,0.00857723586051381,0.25117070196420066,8.7202636683011,0.04108736146880154,8.7202636683011,0.954125302126419,0.954125302126419,0.002731788616259606,100.0
tiny_llm_ptq,online_ogd_sum_log_residuals,0.36418477576572456,0.0061349649553438254,0.25117070196420066,9.097363310518555,1.5417584597765435,9.097363310518555,0.9426956245371617,0.9411833304889337,0.1087446876965219,100.0
tiny_llm_ptq,online_ogd_task_aware,0.3466169017048714,0.01338782898055162,0.25117070196420066,7.195859022773533,9.963085830788707,9.963085830788707,1.0370098778259889,0.831240294655253,1.00160825834841,100.0
tiny_llm_ptq,online_ogd_task_feas_aggressive,0.25425993719977547,0.01105813380769461,0.24901491886836893,1.074769543990638,37.36658670034787,37.36658670034787,1.491270783965139,0.21039526106008877,29.424519698312277,100.0
tiny_llm_ptq,online_ogd_task_feas_mid,0.2816415976758058,0.01853911479839594,0.25117070196420066,2.9741717920799235,23.72101191546444,23.72101191546444,1.3519030841710011,0.5268536013625313,6.351516450508345,100.0
tiny_llm_ptq,online_ogd_task_feasibility,0.316447175267232,0.003303891193840128,0.25117070196420066,5.79384102422443,15.796859244196751,15.796859244196751,1.2050430116399296,0.7417358518046213,2.047696101367967,99.66666666666667
tiny_llm_ptq,online_ogd_task_norm_mag_feas_high,0.3669914549438786,0.0056141935524605825,0.25117070196420066,8.730899230955563,0.09526687294828946,8.730899230955563,0.9511776025361248,0.9511776025361248,0.00638468526514389,100.0
tiny_llm_ptq,online_ogd_task_norm_magnitude,0.36566689276435066,0.010475275702173322,0.25117070196420066,8.71652827835573,0.05338977877973842,8.71652827835573,0.9527019923712438,0.9527019923712438,0.003569449143459634,100.0
