problem,method,seed,iterations,final_objective,best_objective,final_primal,final_dual,final_rho,rho_changes,final_status,deploy_rel_error,weight_rel_error,bits,num_blocks,rho0,wall_time_sec,best_deploy_rel_error,final_residual_max,log_residual_auc,log_primal_auc,iter_primal_below_3
tiny_llm_ptq,fixed_rho_0p1,0,100,0.00849087496015108,0.0015440479746003802,8.84833987757663,1.3921692487918584,0.1,0,running,0.3565832478106494,0.35109252730353463,4,7,0.1,1.7574955999734811,0.24771367903682898,8.84833987757663,0.949154363318226,0.949154363318226,
tiny_llm_ptq,fixed_rho_1,0,100,0.13768614636241772,0.033343998440322924,6.762202583685685,9.332084090210891,1.0,0,running,0.32802062952820954,0.2991230284552358,4,7,1.0,1.6793495999881998,0.24742819452907303,9.332084090210891,0.9640140730311673,0.8302276712975748,
tiny_llm_ptq,fixed_rho_10,0,100,0.5494472275197099,0.2305147919925994,1.974753298517536,25.559699892617967,10.0,0,running,0.26386382498558725,0.2633244917795478,4,7,10.0,1.6988208999973722,0.24811858099098047,25.559699892617967,1.3998029651270352,0.30454153473304574,1
tiny_llm_ptq,online_ogd_balance,0,100,0.10206953429240195,0.033343998440322924,7.480322483908605,7.563266976096104,0.72987666098316,100,running,0.3429256450139404,0.31062046627822176,4,7,1.0,1.4926633999566548,0.24742819452907303,7.563266976096104,0.9465861830445236,0.8369072434449234,2
tiny_llm_ptq,online_ogd_task_aware,0,100,0.14195997670802876,0.033343998440322924,6.80547284207687,9.638700525726724,1.0255475898665039,100,running,0.332567591579844,0.29958105099484356,4,7,1.0,1.4060062000062317,0.24742819452907303,9.638700525726724,1.0150807411611706,0.8073712360893979,
tiny_llm_ptq,online_ogd_task_feasibility,0,100,0.2367052420527332,0.033343998440322924,5.477357165354144,14.36820445229667,1.9766386126368154,99,running,0.3126638307737877,0.2845400502967468,4,7,1.0,1.4748014000360854,0.24742819452907303,14.36820445229667,1.1713002557926213,0.7123928496322152,
tiny_llm_ptq,online_ogd_task_feas_mid,0,100,0.4462477525212375,0.033343998440322924,2.7318999276614666,21.351126870456298,6.247600961402323,100,running,0.26371007758783943,0.2679069789906453,4,7,1.0,1.342155600024853,0.24742819452907303,21.351126870456298,1.3270448201303944,0.5058096725944083,37
tiny_llm_ptq,online_ogd_task_feas_aggressive,0,100,0.6657946918467825,0.033343998440322924,1.187338254071865,39.945663928179684,30.1935201712015,100,running,0.2467811724313107,0.2651599986485346,4,7,1.0,1.3167472999775782,0.24576973830672608,39.945663928179684,1.482339420798752,0.2044059576205118,9
tiny_llm_ptq,online_ogd_sum_log_residuals,0,100,0.00966498733310092,0.00966498733310092,8.988752560400355,1.5161606252155015,0.1087446876965219,100,running,0.35767039860578265,0.3543751191379607,4,7,1.0,1.38155699998606,0.24742819452907303,8.988752560400355,0.9362502344289679,0.9348696433969327,
tiny_llm_ptq,online_ogd_norm_magnitude,0,100,1.2301271042327294e-05,1.2301271042327294e-05,8.581340154760433,0.040767904509686335,0.00275950448214799,100,running,0.35806924215251024,0.36950133518882583,4,7,1.0,1.5281585999764502,0.24742819452907303,8.581340154760433,0.9474096486743477,0.9474096486743477,
