iter,objective,deploy_rel_error,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,decision,status
1,0.03452574687619056,0.2527470893716168,3.9798910341533285,0.4478619796977004,1.0,0.8869204367171575,True,1.0,8.246237394043225,sum_log_residuals,running
2,0.08092407113980309,0.36946065800648786,6.752541666086699,8.040563599322759,0.8869204367171575,0.8147672301258017,True,1.0,11.655480449136304,sum_log_residuals,running
3,0.11632249456431752,0.37389668296348083,8.274813457978865,9.554383670159286,0.8147672301258017,0.7602295543999611,True,1.0,12.031926630016741,sum_log_residuals,running
4,0.11445590254697868,0.36372711100834143,8.167595021328191,8.74086072621344,0.7602295543999611,0.7159572317164407,True,1.0,11.930749974251977,sum_log_residuals,running
5,0.11003753253791929,0.3647681449243317,8.284478746353773,8.344435839731503,0.7159572317164407,0.6785477152918121,True,1.0,11.900136733130418,sum_log_residuals,running
6,0.10176050400524296,0.3637828178794066,8.293373889371136,7.965653038625504,0.6785477152918121,0.6461069236816658,True,1.0,11.855113089919794,sum_log_residuals,running
7,0.09850247418062674,0.3668587192262284,8.32277561094751,7.635832594454907,0.6461069236816658,0.6174569008427745,True,1.0,11.817294020703487,sum_log_residuals,running
8,0.09115680028338562,0.3607286434421319,8.310047274389005,7.320930016607259,0.6174569008427745,0.5918083580639895,True,1.0,11.774563588825862,sum_log_residuals,running
9,0.08922353595593177,0.36410411715617585,8.453908060452303,7.120202056728383,0.5918083580639895,0.5686032204299577,True,1.0,11.764177211669958,sum_log_residuals,running
10,0.08463356970137492,0.36439483557999996,8.364718168909738,6.833939533366654,0.5686032204299577,0.5474305098938623,True,1.0,11.713398260523912,sum_log_residuals,running
11,0.08108756812961121,0.36789259028253685,8.468660125449905,6.625448603379045,0.5474305098938623,0.5279777642822525,True,1.0,11.695327356505224,sum_log_residuals,running
12,0.07709902942519946,0.36285190339303497,8.474782464613812,6.477411376759656,0.5279777642822525,0.5100012382039507,True,1.0,11.673611153244677,sum_log_residuals,running
13,0.07610918720644597,0.3612527331053444,8.431267960545513,6.21078600778815,0.5100012382039507,0.49330672547759097,True,1.0,11.627475371799676,sum_log_residuals,running
14,0.07053816092606024,0.3673386101421152,8.503034520482407,6.026157145629327,0.49330672547759097,0.4777367233413878,True,1.0,11.605710920826898,sum_log_residuals,running
15,0.07044888377810062,0.3640277800917718,8.650061845998987,5.9671390307127385,0.4777367233413878,0.46316155587264485,True,1.0,11.613381750002937,sum_log_residuals,running
16,0.06742005479020405,0.3677612889281378,8.598274088776218,5.801304764817305,0.46316155587264485,0.44947306320798597,True,1.0,11.57990955276885,sum_log_residuals,running
17,0.06415890624062744,0.36412486855112497,8.573439902304594,5.609059498779868,0.44947306320798597,0.4365800071787144,True,1.0,11.543873091732994,sum_log_residuals,running
18,0.061400547254873566,0.36002833566691816,8.601058012078994,5.449120394289151,0.4365800071787144,0.4244046569675966,True,1.0,11.518104799676564,sum_log_residuals,running
19,0.061143878557276814,0.3721205910942749,8.740701298432205,5.356968602054312,0.4244046569675966,0.4128802055469433,True,1.0,11.517657843891582,sum_log_residuals,running
20,0.058206512616487516,0.3676812622507727,8.757678901792028,5.2887043502047915,0.4128802055469433,0.40194878336888423,True,1.0,11.506680763387497,sum_log_residuals,running
21,0.057259636028815245,0.36849970031194285,8.7835908959086,5.162569840869724,0.40194878336888423,0.39155990944228797,True,1.0,11.486412879532274,sum_log_residuals,running
22,0.054430461105891774,0.365065026132014,8.683659253686725,4.978518530101821,0.39155990944228797,0.3816692680529899,True,1.0,11.438795718217186,sum_log_residuals,running
23,0.05327161219520997,0.3738071378257234,8.8173068040182,4.900169179132673,0.3816692680529899,0.37223773155145756,True,1.0,11.438179563133524,sum_log_residuals,running
24,0.051358790825135295,0.3636498615590712,8.754003219830247,4.814297168108563,0.37223773155145756,0.3632305715816195,True,1.0,11.41372571869972,sum_log_residuals,running
25,0.05020013958784581,0.3653301070465227,8.741329248673143,4.6555859693055,0.3632305715816195,0.35461681638233244,True,1.0,11.37939106760994,sum_log_residuals,running
26,0.04806092741307258,0.36712012011300404,8.8384427014263,4.590369938063885,0.35461681638233244,0.3463687225787428,True,1.0,11.376042062429818,sum_log_residuals,running
27,0.04793983793535944,0.372164719074872,8.865693310206511,4.538472391508014,0.3463687225787428,0.33846133762281994,True,1.0,11.368202244102607,sum_log_residuals,running
28,0.04544882613465671,0.3613938955439076,8.762475088052161,4.397617207882473,0.33846133762281994,0.3308721346778205,True,1.0,11.325107189415384,sum_log_residuals,running
29,0.04469059129799861,0.36617089194172986,8.932690983583834,4.331084383604262,0.3308721346778205,0.32358070589653476,True,1.0,11.329337581446385,sum_log_residuals,running
30,0.04343696612366776,0.36693033873662817,8.829891023598812,4.254537379766376,0.32358070589653476,0.316568503143198,True,1.0,11.300430213419826,sum_log_residuals,running
31,0.04215013085418805,0.3675430820192539,8.913349329347508,4.144973715428795,0.316568503143198,0.309818617547232,True,1.0,11.283462830485497,sum_log_residuals,running
32,0.04108759289844784,0.36524747110516914,8.89424287479782,4.087840756750457,0.309818617547232,0.30331559105865624,True,1.0,11.267983776548956,sum_log_residuals,running
33,0.04002508800343461,0.372823682243693,8.967376204363806,4.039576395146719,0.30331559105865624,0.29704525454541464,True,1.0,11.264226055228168,sum_log_residuals,running
34,0.038705509206656524,0.36686915991409064,8.960523972730101,3.955714192203689,0.29704525454541464,0.2909945880362323,True,1.0,11.242800499142547,sum_log_residuals,running
35,0.03806493493813697,0.366963724804643,9.014200031641959,3.8846064517268926,0.2909945880362323,0.2851515995445386,True,1.0,11.230864959871159,sum_log_residuals,running
36,0.03703427182587745,0.36973584665119646,9.00076527778323,3.82553832466581,0.2851515995445386,0.2795052195648559,True,1.0,11.214230873124535,sum_log_residuals,running
37,0.03602253184675854,0.36101395304731926,8.86615121167727,3.7147778007437675,0.2795052195648559,0.2740452088538667,True,1.0,11.169827843215643,sum_log_residuals,running
38,0.03449568546314716,0.37227833557897033,9.019206168572032,3.651900167899592,0.2740452088538667,0.26876207752475084,True,1.0,11.169951652677723,sum_log_residuals,running
39,0.034423102776030855,0.37430484248375795,9.081100990586124,3.645676877017878,0.26876207752475084,0.26364701381840844,True,1.0,11.175137184159466,sum_log_residuals,running
40,0.03337472096017995,0.3700542959279664,9.063125803424393,3.585790490627621,0.26364701381840844,0.25869182118637346,True,1.0,11.156974644887267,sum_log_residuals,running
41,0.03262569110744405,0.36394408123246813,8.930456979017517,3.47481970861099,0.25869182118637346,0.25388886254100174,True,1.0,11.111081198401866,sum_log_residuals,running
42,0.0310434915631609,0.3729415088640458,8.978114704123962,3.4115112989824476,0.25388886254100174,0.24923101070922138,True,1.0,11.097825501192522,sum_log_residuals,running
43,0.03126727834571703,0.370893615970919,9.119258775683194,3.4036036248909105,0.24923101070922138,0.244711604274803,True,1.0,11.111168771163442,sum_log_residuals,running
44,0.030297345118271233,0.36587061676863075,9.042429952448604,3.335193781069326,0.244711604274803,0.2403244081170079,True,1.0,11.082846870607717,sum_log_residuals,running
45,0.029666920321820292,0.3616297429698364,8.960025953627204,3.2512145904147927,0.2403244081170079,0.23606357805555261,True,1.0,11.04826196133591,sum_log_residuals,running
46,0.028557948121112973,0.3735375634328914,9.034484658689337,3.193276192811204,0.23606357805555261,0.23192362909697545,True,1.0,11.038572669141004,sum_log_residuals,running
47,0.027859575149266177,0.37390639266301123,9.145444427310707,3.1893079995386717,0.23192362909697545,0.22789940684882454,True,1.0,11.04956416879929,sum_log_residuals,running
