model,corpus,method,bits,seeds,ppl_mean,ppl_std,delta_ppl_mean,recon_mean,rho_mean
random_tiny_gpt2,toy,admm_gptq,4,2,128.8208396882374,0.0084563901766046,0.014086665781832153,0.0982857471186809,1.2721365714759678
random_tiny_gpt2,toy,awq_proxy,4,2,128.83618125319836,0.03503778786492262,0.02942823074278067,0.09651088948127984,0.0
random_tiny_gpt2,toy,fp32,,2,128.80675302245558,0.0,0.0,0.0,0.0
random_tiny_gpt2,toy,gptq_proxy,4,2,128.81290934284658,0.03190913440458587,0.00615632039098557,0.12180071951836097,0.0
random_tiny_gpt2,toy,rtn,4,2,128.85729099430807,0.0,0.05053797185249209,0.09941943238308248,0.0
