iter,objective,train_loss,deploy_loss,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,decision,status
1,2.1171623001089777,2.11658698352602,2.07800309943856,0.2982726934181853,0.005685640777242418,0.01,0.015527072185113374,True,-2.0,8.097047262601134,task_feasibility_ogd,running
2,1.5740734542428223,1.5734825907535681,1.5864289009774744,0.4144570431457395,0.010993211554667334,0.015527072185113374,0.02119387186068943,True,-2.0,6.434365541207726,task_feasibility_ogd,running
3,1.1337257937173524,1.1331087292295179,1.1242744458967244,0.39806368106084855,0.016485078547764927,0.02119387186068943,0.027323474244573098,True,-2.0,5.230098535888784,task_feasibility_ogd,running
4,0.8003286255849626,0.7996809575501614,0.8307389934555212,0.3941766299725244,0.02010614635041079,0.027323474244573098,0.034047145454966156,True,-2.0,4.3430059231201295,task_feasibility_ogd,running
5,0.5760740612879284,0.5753968995920186,0.572356570537578,0.41921779987919267,0.02560698418675668,0.034047145454966156,0.041451338674163604,True,-2.0,3.6091449622559164,task_feasibility_ogd,running
6,0.4398768389884157,0.43917449861530705,0.4404149078787614,0.4079126634527151,0.030580026690299262,0.041451338674163604,0.0496078667499194,True,-2.0,3.0089085934414146,task_feasibility_ogd,running
7,0.3630642570402085,0.36234194553354354,0.36559339866360757,0.44609749867356346,0.037298843345696484,0.0496078667499194,0.05858354136810128,True,-2.0,2.54362842885251,task_feasibility_ogd,running
8,0.32130033606828445,0.3205634135523405,0.33694305126024543,0.456718614405615,0.047463725592422554,0.05858354136810128,0.0684440952945805,True,-2.0,2.139357131046856,task_feasibility_ogd,running
9,0.2988597102425031,0.29811198839809144,0.29999850281387647,0.4433622093300939,0.05445418680802725,0.0684440952945805,0.07925606593822025,True,-2.0,1.7647198825774053,task_feasibility_ogd,running
10,0.28619235640507423,0.28543710167469327,0.29849445006884073,0.43615078228249893,0.06057913851231474,0.07925606593822025,0.09108782661179728,True,-2.0,1.4786120736048491,task_feasibility_ogd,running
11,0.27901569848046764,0.2782549075445763,0.27963023991394814,0.45179217086407786,0.0698994901710008,0.09108782661179728,0.10401021966227868,True,-2.0,1.2140806415337753,task_feasibility_ogd,running
12,0.27445558337987414,0.2736912121928486,0.2867225953369113,0.47156801739778764,0.08322476095500853,0.10401021966227868,0.1166640542724442,True,-1.807777853157881,1.005177497133858,task_feasibility_ogd,running
13,0.27155647454510323,0.27078896158225946,0.2761092184486292,0.46017189693440125,0.09446539185065798,0.1166640542724442,0.13102590805084127,True,-1.902692042284774,0.803470332799608,task_feasibility_ogd,running
14,0.2692086566148748,0.268438984598157,0.27487707444148973,0.45555796284165784,0.10136968609252209,0.13102590805084127,0.14496488993656528,True,-1.7194021131633304,0.6351600863066451,task_feasibility_ogd,running
15,0.26743335036506477,0.2666617485779118,0.26980730090571975,0.4510586153908633,0.11160379340726372,0.14496488993656528,0.15964388891387188,True,-1.6980226819670379,0.49106031267799993,task_feasibility_ogd,running
16,0.2657999482788252,0.26502707785177065,0.27693104894891557,0.44790204502048236,0.12210426558268798,0.15964388891387188,0.17308128185574045,True,-1.46937601942744,0.3765447073156252,task_feasibility_ogd,running
17,0.2645416130517534,0.26376780559241,0.2657526166394454,0.4541972424343607,0.13055107365915009,0.17308128185574045,0.18939519387141182,True,-1.688120951198333,0.27175269718639555,task_feasibility_ogd,running
18,0.2630904422081106,0.2623159335207816,0.27373039196609056,0.4799970845722223,0.15088356965839503,0.18939519387141182,0.20294289339370514,True,-1.3323592912062727,0.18466792134342574,task_feasibility_ogd,running
19,0.261830623702301,0.26105502980755585,0.2684625980345617,0.4489551799838074,0.1608453856443715,0.20294289339370514,0.21877987848219313,True,-1.4887913874971375,0.09498159138014817,task_feasibility_ogd,running
20,0.26056262939574315,0.25978639928485864,0.27393280027370137,0.4436728424476121,0.1619452436166232,0.21877987848219313,0.232591381534747,True,-1.2444141807953493,0.031407275923584166,task_feasibility_ogd,running
21,0.2594966307817473,0.25871983267277415,0.2619516721114106,0.4694804333146687,0.18062970174307535,0.232591381534747,0.25059461072567035,True,-1.5529380456916204,-0.036728426673387715,task_feasibility_ogd,running
22,0.2583259205020322,0.2575487076801097,0.2709664050054014,0.4328442888754785,0.1912314760198021,0.25059461072567035,0.26357573907352005,True,-1.0767536895151242,-0.09792140700354607,task_feasibility_ogd,running
23,0.257164902162043,0.2563867515358063,0.2664089961777325,0.46380332046159517,0.20074445443414687,0.26357573907352005,0.28004623239420723,True,-1.3213375551559303,-0.1388996005834522,task_feasibility_ogd,running
24,0.2561886856701949,0.25541050897125955,0.26030317782161366,0.45825869265016533,0.21134484379878207,0.28004623239420723,0.29683695796124454,True,-1.2966333813208775,-0.1895643823209039,task_feasibility_ogd,running
25,0.25498720350230153,0.25420804881852205,0.26702588065568367,0.4689177442758538,0.22605236698892675,0.29683695796124454,0.3097999349101405,True,-0.9714475660469841,-0.21740944055149403,task_feasibility_ogd,running
26,0.2536502613257273,0.25287116346639466,0.27518331177247524,0.47273855070421766,0.24730510436962264,0.3097999349101405,0.3213017999889437,True,-0.8449110200353441,-0.23704315924811264,task_feasibility_ogd,running
27,0.2529502876356327,0.25217041280650937,0.26185510111291993,0.4255359677970298,0.23839896970479704,0.3213017999889437,0.342305166975803,True,-1.4955889950421275,-0.2824580344188066,task_feasibility_ogd,running
28,0.251721813570091,0.2509394857132879,0.26051783971035225,0.46782059378529006,0.2582595776522293,0.342305166975803,0.3575184249029203,True,-1.0458957678390384,-0.31576916455022624,task_feasibility_ogd,running
29,0.25050748178872834,0.24972458495520944,0.2592223158047579,0.44537511603103097,0.27749698398574635,0.3575184249029203,0.37271694864789784,True,-1.0190783505333976,-0.3448754522918783,task_feasibility_ogd,running
30,0.2495088231579172,0.24872563084807334,0.25926163020106496,0.45662587256450043,0.2747869281064074,0.37271694864789784,0.3872619395144926,True,-0.9530877800155035,-0.3608507737593336,task_feasibility_ogd,running
31,0.24891776160429482,0.24813317729337983,0.25564112131905475,0.47419974290517053,0.2980275837667963,0.3872619395144926,0.40380671711544247,True,-1.0587617723007603,-0.38048330898627253,task_feasibility_ogd,running
32,0.24760336033724759,0.24681864361247915,0.2499310003229862,0.4541270694807656,0.31329960147758773,0.40380671711544247,0.4211896506282318,True,-1.083721322963524,-0.4080848777170188,task_feasibility_ogd,running
33,0.2464890280910486,0.24570282500566884,0.2540045560442002,0.45717079108197906,0.3217540971854874,0.4211896506282318,0.43311317701949953,True,-0.7289292213702233,-0.4180698554483569,task_feasibility_ogd,running
34,0.2458175843566016,0.24503125460727004,0.24756844996485813,0.4586560390947615,0.3283937066042157,0.43311317701949953,0.45258715344544825,True,-1.1656941184891623,-0.4357404736608268,task_feasibility_ogd,running
35,0.2447618726416881,0.24397378697222974,0.24713304500612035,0.43333912713294254,0.3328473060432966,0.45258715344544825,0.4666408949080869,True,-0.8223257133976187,-0.450665545135852,task_feasibility_ogd,running
36,0.24351795617032052,0.24272844182926087,0.25189767604431856,0.44944934581266066,0.3495399184643644,0.4666408949080869,0.47645180526386005,True,-0.5674520335311741,-0.45179866578686895,task_feasibility_ogd,running
37,0.24272960247523842,0.24193925057537422,0.24920229264440552,0.46727225851835735,0.36661481469977775,0.47645180526386005,0.49317263323687593,True,-0.9536861115809916,-0.45980416423754283,task_feasibility_ogd,running
38,0.24175881135616578,0.24096858396450618,0.25117116813141976,0.423203465987741,0.36072036660011697,0.49317263323687593,0.5049556119337049,True,-0.661588634429065,-0.465784077270329,task_feasibility_ogd,running
39,0.24104767224746423,0.24025444250562503,0.25077909607878573,0.4509956510989899,0.36526561838445765,0.5049556119337049,0.5185437823921819,True,-0.7537694513272567,-0.4689499141535303,task_feasibility_ogd,running
40,0.24023047059004146,0.23943782624789436,0.2437091328271032,0.4335828424257106,0.38480168532956216,0.5185437823921819,0.5384584022857957,True,-1.0833900490087356,-0.4840483796413251,task_feasibility_ogd,running
41,0.23908334235048798,0.23828879498110375,0.24462285958129001,0.4253230674775614,0.3814077355777182,0.5384584022857957,0.5505083119302032,True,-0.6441487301957158,-0.4872790629510135,task_feasibility_ogd,running
42,0.23818969838726414,0.23739460520167252,0.2552225312145189,0.4630490809385851,0.40839836281187136,0.5505083119302032,0.5548456425489521,True,-0.23118270863878937,-0.47377363661850597,task_feasibility_ogd,running
43,0.237570706768778,0.23677496116072563,0.24130270411268026,0.4279633353327431,0.4121155602132127,0.5548456425489521,0.5755770457111843,True,-1.0933974873707466,-0.4948187257977644,task_feasibility_ogd,running
44,0.23667446608100798,0.2358767082954348,0.2411008130966533,0.4369740724716031,0.4062476635136931,0.5755770457111843,0.5879568640534841,True,-0.6416308980065174,-0.49688284841305197,task_feasibility_ogd,running
45,0.2359827855399342,0.23518436471969814,0.2410687596408636,0.43376684601686544,0.42674908231131786,0.5879568640534841,0.6000103550157504,True,-0.6187808509273409,-0.49769080746396993,task_feasibility_ogd,running
46,0.2349992738245884,0.2341996243958621,0.24068431701426538,0.4486783661444139,0.4393730403533379,0.6000103550157504,0.612433133131025,True,-0.6317694948222121,-0.4984781799714106,task_feasibility_ogd,running
47,0.23397070778851942,0.23316984627481974,0.24084261163600842,0.4092106953508201,0.42569660912752755,0.612433133131025,0.6238174866486532,True,-0.5739451252708437,-0.4980686843865679,task_feasibility_ogd,running
48,0.23350062730546486,0.23269776232102077,0.2452311116172267,0.43873504738311936,0.4304429503025055,0.6238174866486532,0.6285259862817566,True,-0.23680401643737914,-0.4915866558029387,task_feasibility_ogd,running
49,0.23303021813937752,0.23222709467955846,0.23533913137791138,0.445817216765545,0.4621796488670611,0.6285259862817566,0.6488286729085087,True,-1.0115420602695107,-0.505755746164791,task_feasibility_ogd,running
50,0.23183499098789187,0.2310304948352487,0.2399439633009843,0.42161701199985097,0.4620160998731654,0.6488286729085087,0.6555878098150865,True,-0.33309734359932247,-0.4970219028165518,task_feasibility_ogd,running
51,0.23166395646479218,0.2308580902304919,0.23610177487641484,0.41474979341404494,0.44533895087933645,0.6555878098150865,0.6756350882432614,True,-0.9777546255139575,-0.5020494135289975,task_feasibility_ogd,running
52,0.23030010027199033,0.22949491697797977,0.24395161558352463,0.43358539108717337,0.47117705722541026,0.6756350882432614,0.6785603463051155,True,-0.14160953665109977,-0.48831954691523394,task_feasibility_ogd,running
53,0.22978054625644212,0.2289740121712954,0.2364839180050524,0.42156088540248426,0.47625577464922514,0.6785603463051155,0.6984061001376947,True,-0.9539367190823075,-0.4984493228535521,task_feasibility_ogd,running
54,0.22916895184456787,0.2283609459821431,0.23650481386945577,0.44258237161428876,0.49984749596727657,0.6984061001376947,0.7088655817123536,True,-0.49652875289008913,-0.49530495099232363,task_feasibility_ogd,running
55,0.22844670275573326,0.227639080410321,0.24134736580915064,0.41057942387411384,0.49892023342210856,0.7088655817123536,0.7097583885680853,True,-0.042430577194595975,-0.4847164964854036,task_feasibility_ogd,running
56,0.2279867685621253,0.22717756359425675,0.2418781445295816,0.3983337982949197,0.47093651499638206,0.7097583885680853,0.7106055170919013,True,-0.0405743020168412,-0.4835483132775096,task_feasibility_ogd,running
57,0.22701422702730167,0.22620572689132235,0.22914826011033898,0.4299236592488035,0.4883852993421395,0.7106055170919013,0.7299159975907853,True,-0.9201191938034295,-0.5034377847091888,task_feasibility_ogd,running
58,0.2258959099602503,0.2250861555351187,0.23576068244167378,0.40395089995710903,0.5003926527597861,0.7299159975907853,0.7317429461601845,True,-0.08653699517752622,-0.48777778580741316,task_feasibility_ogd,running
59,0.22521337051758963,0.2244021064962155,0.23464819487533653,0.4173580899231363,0.4965125937448057,0.7317429461601845,0.750770276106352,True,-0.8962650109370319,-0.4896528223541563,task_feasibility_ogd,running
60,0.22477585581186305,0.2239642735906726,0.23174035936482887,0.3829698857883162,0.4993446182163607,0.750770276106352,0.7637134833314057,True,-0.6018257943449047,-0.48660302892026436,task_feasibility_ogd,running
61,0.22447461593030224,0.22366231428537986,0.22904199521074461,0.41161557347168365,0.5090291729377192,0.7637134833314057,0.7781135147512883,True,-0.6631513437315405,-0.4881028571208787,task_feasibility_ogd,running
62,0.2231069744045554,0.22229533410214616,0.2322055249520201,0.4036259444031378,0.5326687766607262,0.7781135147512883,0.7813556823192426,True,-0.14882039110319728,-0.47753815467230143,task_feasibility_ogd,running
63,0.22253512738957343,0.22172136797514508,0.22838018350083988,0.41308608293650856,0.5328330893957027,0.7813556823192426,0.7997943046602998,True,-0.8414972050935897,-0.48271171909484095,task_feasibility_ogd,running
64,0.22227721905060652,0.2214630254733608,0.22258696165542116,0.3896279637471193,0.5385171759759135,0.7997943046602998,0.8168255996884083,True,-0.7662193588031971,-0.4830883230920158,task_feasibility_ogd,running
65,0.2215170028614492,0.22070155848888665,0.22409309476032094,0.38147550689386744,0.5232148445160689,0.8168255996884083,0.8224725464664162,True,-0.2524767887640693,-0.4741918451705206,task_feasibility_ogd,running
66,0.2209602215081348,0.22014290111047394,0.22862226814657483,0.41138965198547045,0.5482679937702921,0.8224725464664162,0.82084551739658,True,0.07312284964836502,-0.46713999602230993,task_feasibility_ogd,running
67,0.220726006155716,0.21990979792173346,0.2189241512066591,0.3891840845948636,0.5528576412744994,0.82084551739658,0.8191382027457029,True,0.07746738628647598,-0.48047439697620253,task_feasibility_ogd,running
68,0.21969500262064642,0.21887598055367694,0.22807956295440138,0.4172336278782985,0.5452444712474925,0.8191382027457029,0.8369572741630027,True,-0.8066371672106555,-0.46994557597772413,task_feasibility_ogd,running
69,0.2201043144430935,0.21928402572666106,0.22258700139516666,0.3971779900825247,0.57615549515962,0.8369572741630027,0.8535914520180938,True,-0.7430525419923388,-0.4687754822398672,task_feasibility_ogd,running
