problem,base_method,mean_task_metric,best_task_metric,worst_task_metric,robustness_range,relative_range,best_rho0,worst_rho0
tanh_qat_nonconvex,online_ogd,0.31898198981258996,0.295718598470407,0.36715441476854344,0.07143581629813645,0.24156687021930795,0.01,100.0
tanh_qat_nonconvex,online_ogd_task_aware,0.327544589582527,0.2893705153373084,0.40409460867960617,0.11472409334229777,0.3964608944645524,0.01,100.0
tanh_qat_nonconvex,online_ogd_task_feasibility,0.3757078114960447,0.29871292566461555,0.46228415234154974,0.1635712266769342,0.5475867049040464,0.01,100.0
tiny_llm_ptq,online_ogd,0.351649655046463,0.3493487123330981,0.35430274633682407,0.00495403400372596,0.014180770756648366,1.0,0.01
tiny_llm_ptq,online_ogd_task_aware,0.34274527692024837,0.3389705862131023,0.3466169017048714,0.00764631549176914,0.022557460153672725,0.01,1.0
tiny_llm_ptq,online_ogd_task_feasibility,0.32345847149586276,0.316447175267232,0.332435396618889,0.015988221351657006,0.05052413989208575,1.0,0.01
tiny_llm_ptq_vector_rho,vector_online_ogd,0.3504855150362387,0.3474688680168349,0.35448896484110515,0.007020096824270239,0.020203527482439417,100.0,0.01
tiny_llm_ptq_vector_rho,vector_task_aware,0.3437094441683429,0.33955837502641945,0.348174903633054,0.008616528606634533,0.025375691605203733,100.0,1.0
tiny_llm_ptq_vector_rho,vector_task_feasibility,0.3236970866568553,0.3174021295144993,0.33150141510209,0.014099285587590715,0.044420891596275956,100.0,0.01
