problem,method,seed,iterations,final_objective,best_objective,final_primal,final_dual,final_rho,rho_changes,final_status,deploy_loss,continuous_loss,teacher_weight_rel_error,rho0,base_method,wall_time_sec,deploy_rel_error,weight_rel_error,bits,num_blocks,rho_min,rho_max
tanh_qat_nonconvex,online_ogd_rho0_0.01,0,100,0.20503775231442575,0.20503775231442575,0.3454933045750455,0.3593219613361834,0.5800942646968236,93,running,0.20841842626715704,0.20418476045099757,1.1994510968115777,0.01,online_ogd,0.45528970001032576,,,,,,
tanh_qat_nonconvex,online_ogd_task_aware_rho0_0.01,0,100,0.19765927807959663,0.19765927807959663,0.3787497807051758,0.3516452332976754,0.5534534597077047,100,running,0.20229387037029026,0.19680436979954677,1.2024582454926582,0.01,online_ogd_task_aware,0.40831460000481457,,,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility_rho0_0.01,0,100,0.20812805797116737,0.20812805797116737,0.3374153171139469,0.6124371755209862,1.0549969834614885,100,running,0.20984709847430208,0.20727939169209075,1.1973379930835122,0.01,online_ogd_task_feasibility,0.40431019995594397,,,,,,
tanh_qat_nonconvex,online_ogd_rho0_0.1,0,100,0.20695728454471593,0.20695728454471593,0.37057195175341895,0.3809522767460703,0.5792517027275306,98,running,0.20912973840115745,0.2060941987365886,1.2023750119265153,0.1,online_ogd,0.3969556000083685,,,,,,
tanh_qat_nonconvex,online_ogd_task_aware_rho0_0.1,0,100,0.2078985629490426,0.2078985629490426,0.37244797929178514,0.33251130660119277,0.5239887009306655,100,running,0.21665929556032024,0.20705055641490266,1.196855513694957,0.1,online_ogd_task_aware,0.4163964000181295,,,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility_rho0_0.1,0,100,0.24500676058067986,0.24500676058067986,0.3382593508557479,0.7142494053396321,1.2200158407977637,100,running,0.2501832993287261,0.24421489495261114,1.1760914123462527,0.1,online_ogd_task_feasibility,0.42535459995269775,,,,,,
tanh_qat_nonconvex,online_ogd_rho0_1,0,100,0.2154203899890402,0.2154203899890402,0.334053095056972,0.3473895420486769,0.5856860921942748,100,running,0.22131465499014305,0.2145889811230819,1.1970492594498963,1.0,online_ogd,0.4094899999909103,,,,,,
tanh_qat_nonconvex,online_ogd_task_aware_rho0_1,0,100,0.20774848612016977,0.20774848612016977,0.37098028196371124,0.3448730073797976,0.5633451851314258,100,running,0.21447722450561857,0.20690745315286727,1.2015262231230948,1.0,online_ogd_task_aware,0.40503419999731705,,,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility_rho0_1,0,100,0.262144842787493,0.262144842787493,0.28426773655970733,0.6687045473679583,1.3568734385616839,100,running,0.2641766053936298,0.2613657162960796,1.1647442191982922,1.0,online_ogd_task_feasibility,0.3998051999951713,,,,,,
tanh_qat_nonconvex,online_ogd_rho0_10,0,100,0.23476026229675803,0.23476026229675803,0.2531856724054596,0.2762565811322044,0.567191862699387,100,running,0.23857624937022495,0.2339041548473281,1.201761820254343,10.0,online_ogd,0.458741300040856,,,,,,
tanh_qat_nonconvex,online_ogd_task_aware_rho0_10,0,100,0.23485885236451373,0.23485885236451373,0.14844117947672422,0.17947088040746725,0.6638971562834115,100,running,0.23445628332777227,0.23397492562319475,1.1986912708472501,10.0,online_ogd_task_aware,0.4413497999776155,,,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility_rho0_10,0,100,0.26738098480720596,0.26738098480720596,0.0011331444470025671,0.004077243370617259,1.1207996747233782,98,running,0.2663568452033633,0.2664000957698314,1.2159384594636058,10.0,online_ogd_task_feasibility,0.509756000014022,,,,,,
tanh_qat_nonconvex,online_ogd_rho0_100,0,100,0.2958600597832776,0.2958600597832776,0.14646255400331043,0.11549111916467113,0.6200632158149105,97,running,0.2921132697540452,0.29166724959461854,1.2833643616724952,100.0,online_ogd,0.4302449999959208,,,,,,
tanh_qat_nonconvex,online_ogd_task_aware_rho0_100,0,100,0.3268201353372331,0.3268201353372331,0.08830691186453686,0.11028829227775946,0.7200303199987862,100,running,0.32276737537177874,0.3225210414780461,1.3047174628334357,100.0,online_ogd_task_aware,0.4757132999948226,,,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility_rho0_100,0,100,0.3567072682404199,0.3567072682404199,0.022895774631157273,0.11914790838511512,1.1128803100111055,99,running,0.3536060662601435,0.3524170692276209,1.3201305419812837,100.0,online_ogd_task_feasibility,0.5103109999909066,,,,,,
tanh_qat_nonconvex,online_ogd_rho0_0.01,1,100,0.29513274108686993,0.29513274108686993,0.4086285790365007,0.4018261854104691,0.5851432215272937,89,running,0.3056431194167577,0.2941301761964217,1.1628849679347368,0.01,online_ogd,0.5351397000486031,,,,,,
tanh_qat_nonconvex,online_ogd_task_aware_rho0_0.01,1,100,0.2889998641117634,0.2889998641117634,0.4508714450874282,0.40689775743135403,0.5310952216263121,100,running,0.302502129240486,0.28799767232255635,1.1645564894792269,0.01,online_ogd_task_aware,0.869628099957481,,,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility_rho0_0.01,1,100,0.3006533736186782,0.3006533736186782,0.39104233720840575,0.6750217075613397,0.9889283427443148,98,running,0.3033709839910803,0.2996387288799652,1.1634404126389843,0.01,online_ogd_task_feasibility,0.5446241999743506,,,,,,
tanh_qat_nonconvex,online_ogd_rho0_0.1,1,100,0.291072178084991,0.291072178084991,0.4008231292747,0.4257750230174003,0.5940138547775049,86,running,0.2937538626423063,0.2900583530332103,1.1657705056341285,0.1,online_ogd,0.49815549998311326,,,,,,
tanh_qat_nonconvex,online_ogd_task_aware_rho0_0.1,1,100,0.29388739310525036,0.29388739310525036,0.4091251122975634,0.3986881912738047,0.5758274751727269,99,running,0.3038461064741148,0.2928775611270034,1.1635678674668402,0.1,online_ogd_task_aware,0.441161299997475,,,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility_rho0_0.1,1,100,0.3450169531300547,0.3450169531300547,0.3048861551756134,0.6861542173570511,1.3003184182635443,100,running,0.34664717560954444,0.3440240605270479,1.1545181398640123,0.1,online_ogd_task_feasibility,0.6511224000132643,,,,,,
tanh_qat_nonconvex,online_ogd_rho0_1,1,100,0.30840817779068114,0.30840817779068114,0.4163873914934265,0.42006027015572445,0.5858419919839277,91,running,0.31946566295226375,0.30741385757043155,1.1623952709503964,1.0,online_ogd,0.8337577999918722,,,,,,
tanh_qat_nonconvex,online_ogd_task_aware_rho0_1,1,100,0.30270694451060226,0.30270694451060226,0.4245298357034123,0.42247541617537776,0.6219522193196604,100,running,0.3114888554538537,0.30169771536087914,1.1602038996050108,1.0,online_ogd_task_aware,0.49709230003645644,,,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility_rho0_1,1,100,0.42492957236268575,0.42492957236268575,0.2657986132389691,0.6453595770513757,1.3987914121842717,100,running,0.42754431394074793,0.42398437350172385,1.1425890274180837,1.0,online_ogd_task_feasibility,0.4365799000370316,,,,,,
tanh_qat_nonconvex,online_ogd_rho0_10,1,100,0.31733962434779256,0.31733962434779256,0.3099754242835411,0.29955788513953946,0.5982394585053036,100,running,0.31893969339437783,0.31634567118259777,1.175148892506026,10.0,online_ogd,0.46748370002023876,,,,,,
tanh_qat_nonconvex,online_ogd_task_aware_rho0_10,1,100,0.3468614150635946,0.3468614150635946,0.24500075579294694,0.25951179281272696,0.6080324206530893,100,running,0.34400064284944865,0.34587684265737084,1.1771432654317542,10.0,online_ogd_task_aware,0.5749070000019856,,,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility_rho0_10,1,100,0.4605117520565997,0.4605117520565997,0.10643574402647656,0.224495771611365,1.4933320329364468,99,running,0.46317844454926477,0.4595846450362637,1.1816858388607157,10.0,online_ogd_task_feasibility,0.5355140000465326,,,,,,
tanh_qat_nonconvex,online_ogd_rho0_100,1,100,0.35916957300378893,0.35916957300378893,0.2752023015016214,0.3022368277415738,0.6174027328851588,98,running,0.35510244235827226,0.35556149700352657,1.206640012425452,100.0,online_ogd,0.48081669997191057,,,,,,
tanh_qat_nonconvex,online_ogd_task_aware_rho0_100,1,100,0.38933726406168273,0.38933726406168273,0.23464694377368284,0.23672379770146906,0.6394272195212943,100,running,0.41244184934087186,0.38552016108454473,1.2304428086984407,100.0,online_ogd_task_aware,0.802141499996651,,,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility_rho0_100,1,100,0.5455201058646069,0.5455201058646069,0.002187366485859579,0.01885813016290448,1.8030522455511917,100,running,0.5411152586880976,0.5413772610551201,1.2451134077552686,100.0,online_ogd_task_feasibility,0.8161401000106707,,,,,,
