model,corpus,method,bits,seeds,ppl_mean,ppl_std,delta_ppl_mean,recon_mean,rho_mean
gpt2,wikitext2,admm_gptq,4,1,332.30204856042167,0.0,295.4428746711393,0.1721327916399304,2.9861308047696093
gpt2,wikitext2,awq_proxy,4,1,209.34930113647107,0.0,172.4901272471887,0.15863748636133967,0.0
gpt2,wikitext2,fp32,,1,36.859173889282374,0.0,0.0,0.0,0.0
gpt2,wikitext2,gptq_proxy,4,1,346.7335156748329,0.0,309.87434178555054,0.12838113754091823,0.0
gpt2,wikitext2,rtn,4,1,149276.04511437286,0.0,149239.18594048359,0.1751995786005072,0.0
