seed,method,admm_controller,admm_rho0,bits,name,d_in,d_out,recon_error,final_primal,final_dual,final_rho
0,gptq_proxy,,,4,model.decoder.layers.10.self_attn.out_proj,768,768,0.13487200720515977,,,
0,gptq_proxy,,,4,model.decoder.layers.10.fc1,768,3072,0.06140215405286174,,,
0,gptq_proxy,,,4,model.decoder.layers.10.fc2,3072,768,0.2730356582844171,,,
0,gptq_proxy,,,4,model.decoder.layers.11.self_attn.k_proj,768,768,0.14272815723794657,,,
0,gptq_proxy,,,4,model.decoder.layers.11.self_attn.v_proj,768,768,0.18243157468964544,,,
0,gptq_proxy,,,4,model.decoder.layers.11.self_attn.q_proj,768,768,0.13132999259074982,,,
0,gptq_proxy,,,4,model.decoder.layers.11.self_attn.out_proj,768,768,0.13142179733183135,,,
0,gptq_proxy,,,4,model.decoder.layers.11.fc1,768,3072,0.06839230426115704,,,
0,gptq_proxy,,,4,model.decoder.layers.11.fc2,3072,768,0.10972324429092752,,,
0,gptq_proxy,,,4,lm_head,768,50272,0.0452307691906256,,,
0,awq_proxy,,,4,model.decoder.layers.0.self_attn.k_proj,768,768,0.1118519087633938,,,
0,awq_proxy,,,4,model.decoder.layers.0.self_attn.v_proj,768,768,0.16993766953801703,,,
0,awq_proxy,,,4,model.decoder.layers.0.self_attn.q_proj,768,768,0.10634163409614655,,,
0,awq_proxy,,,4,model.decoder.layers.0.self_attn.out_proj,768,768,0.11055961254907612,,,
0,awq_proxy,,,4,model.decoder.layers.0.fc1,768,3072,0.07169269325601674,,,
0,awq_proxy,,,4,model.decoder.layers.0.fc2,3072,768,0.10169274937251566,,,
0,awq_proxy,,,4,model.decoder.layers.1.self_attn.k_proj,768,768,0.0890997208989254,,,
0,awq_proxy,,,4,model.decoder.layers.1.self_attn.v_proj,768,768,0.13958890682101188,,,
0,awq_proxy,,,4,model.decoder.layers.1.self_attn.q_proj,768,768,0.10625877086383141,,,
0,awq_proxy,,,4,model.decoder.layers.1.self_attn.out_proj,768,768,0.16716454956360288,,,
0,awq_proxy,,,4,model.decoder.layers.1.fc1,768,3072,0.07694695802943116,,,
0,awq_proxy,,,4,model.decoder.layers.1.fc2,3072,768,0.12179407927072035,,,
0,awq_proxy,,,4,model.decoder.layers.2.self_attn.k_proj,768,768,0.13941790503277682,,,
0,awq_proxy,,,4,model.decoder.layers.2.self_attn.v_proj,768,768,0.1394477153960991,,,
0,awq_proxy,,,4,model.decoder.layers.2.self_attn.q_proj,768,768,0.138051734605617,,,
0,awq_proxy,,,4,model.decoder.layers.2.self_attn.out_proj,768,768,0.20515923216494467,,,
0,awq_proxy,,,4,model.decoder.layers.2.fc1,768,3072,0.0851402794615894,,,
0,awq_proxy,,,4,model.decoder.layers.2.fc2,3072,768,0.05731115381242271,,,
0,awq_proxy,,,4,model.decoder.layers.3.self_attn.k_proj,768,768,0.09743220611430713,,,
0,awq_proxy,,,4,model.decoder.layers.3.self_attn.v_proj,768,768,0.15137210556983322,,,
0,awq_proxy,,,4,model.decoder.layers.3.self_attn.q_proj,768,768,0.10157879353164968,,,
0,awq_proxy,,,4,model.decoder.layers.3.self_attn.out_proj,768,768,0.17590401041686474,,,
0,awq_proxy,,,4,model.decoder.layers.3.fc1,768,3072,0.05935803120993624,,,
0,awq_proxy,,,4,model.decoder.layers.3.fc2,3072,768,0.13540425379643037,,,
0,awq_proxy,,,4,model.decoder.layers.4.self_attn.k_proj,768,768,0.0993364682958315,,,
0,awq_proxy,,,4,model.decoder.layers.4.self_attn.v_proj,768,768,0.14329268632264833,,,
0,awq_proxy,,,4,model.decoder.layers.4.self_attn.q_proj,768,768,0.10948647941191986,,,
0,awq_proxy,,,4,model.decoder.layers.4.self_attn.out_proj,768,768,0.1615226938343681,,,
0,awq_proxy,,,4,model.decoder.layers.4.fc1,768,3072,0.060698944198058824,,,
0,awq_proxy,,,4,model.decoder.layers.4.fc2,3072,768,0.16211028009552725,,,
0,awq_proxy,,,4,model.decoder.layers.5.self_attn.k_proj,768,768,0.09574381288226923,,,
0,awq_proxy,,,4,model.decoder.layers.5.self_attn.v_proj,768,768,0.14819147149685727,,,
0,awq_proxy,,,4,model.decoder.layers.5.self_attn.q_proj,768,768,0.10416550230597056,,,
0,awq_proxy,,,4,model.decoder.layers.5.self_attn.out_proj,768,768,0.17509089587987853,,,
0,awq_proxy,,,4,model.decoder.layers.5.fc1,768,3072,0.060938530187303996,,,
0,awq_proxy,,,4,model.decoder.layers.5.fc2,3072,768,0.24989538546486922,,,
0,awq_proxy,,,4,model.decoder.layers.6.self_attn.k_proj,768,768,0.09758487213539911,,,
0,awq_proxy,,,4,model.decoder.layers.6.self_attn.v_proj,768,768,0.1474730917412644,,,
0,awq_proxy,,,4,model.decoder.layers.6.self_attn.q_proj,768,768,0.1032219689178419,,,
0,awq_proxy,,,4,model.decoder.layers.6.self_attn.out_proj,768,768,0.15998200401490556,,,
0,awq_proxy,,,4,model.decoder.layers.6.fc1,768,3072,0.06588203601177299,,,
0,awq_proxy,,,4,model.decoder.layers.6.fc2,3072,768,0.27432714341974673,,,
0,awq_proxy,,,4,model.decoder.layers.7.self_attn.k_proj,768,768,0.10278971403912288,,,
0,awq_proxy,,,4,model.decoder.layers.7.self_attn.v_proj,768,768,0.1445753457817557,,,
