iter,objective,train_loss,deploy_loss,primal_norm,dual_norm,rho,rho_next,rho_changed,gradient,loss,decision,status
1,1.14876237847033,1.1482301665409955,1.166207609435898,0.24940008500993732,0.21054901234282047,1.0,1.0610605943695444,True,-0.16933991035063412,0.0143380026187804,ogd,running
2,1.0389978583652184,1.0384561852403251,1.021062037926458,0.41458805550301564,0.5948989962406175,1.0610605943695444,1.0652271426552016,True,-0.01583550397823985,0.00012538159312242507,ogd,running
3,0.9269001221485176,0.9263522117032745,0.9302617674022434,0.39739248218058526,0.6775184800868237,1.0652271426552016,1.0445151362296263,True,0.09716935001370541,0.004720941291042996,ogd,running
4,0.8294165875178917,0.8288577218543997,0.8154998401413001,0.36214555736601695,0.5945017559699887,1.0445151362296263,1.015467716112728,True,0.161162759230282,0.012986717481358923,ogd,running
5,0.7390693850545936,0.7385003021232951,0.7493866747252454,0.4344192425467682,0.632747484992927,1.015467716112728,0.9870126656145939,True,0.18157969313501987,0.016485592479503992,ogd,running
6,0.6693618613607933,0.6687817648109622,0.6908418367170509,0.3912924203889807,0.6413250018185899,0.9870126656145939,0.9562849282548884,True,0.22134261899560637,0.024496277491917084,ogd,running
7,0.6171677657612524,0.6165778563796818,0.600822465092442,0.39713266137526154,0.5734517091806252,0.9562849282548884,0.9282097341794711,True,0.22525319533416943,0.025369501004126743,ogd,running
8,0.5698478721250512,0.569248653241366,0.5909094823702009,0.4359937134492869,0.6077498798086088,0.9282097341794711,0.9029694486975469,True,0.22279111696844056,0.02481794090002268,ogd,running
9,0.5423812401198067,0.54177238465252,0.5384704698796813,0.36191294508425625,0.5687975868481201,0.9029694486975469,0.877360966242034,True,0.2466018854784826,0.030406244960771326,ogd,running
10,0.5192902593378285,0.5186747829690666,0.5176591948817406,0.36627869395942136,0.4856317826014498,0.877360966242034,0.8552444051605091,True,0.23067656945021586,0.02660583984666013,ogd,running
11,0.5029143890119304,0.5022904757010668,0.5087872938542226,0.43100359355969725,0.5653417968244407,0.8552444051605091,0.835760393137854,True,0.21837909553088952,0.023844714682444687,ogd,running
12,0.49231908285293846,0.4916932712801385,0.49254827473327856,0.33703812485542317,0.5189696221844151,0.835760393137854,0.8155240156469776,True,0.24259687868834923,0.029426622774664814,ogd,running
13,0.4849304403909006,0.4843001040888837,0.49220937875837034,0.3767065826350081,0.4473773383973125,0.8155240156469776,0.7991564305838604,True,0.20885579209661398,0.02181037094615202,ogd,running
14,0.48056705239322856,0.4799308997788468,0.4804866998077541,0.4149553292251681,0.5257900457698749,0.7991564305838604,0.7844757960895019,True,0.1982115261391857,0.019643904547212546,ogd,running
15,0.4762657102866651,0.4756284060682469,0.4799298641085657,0.3567080952716815,0.4876941688733091,0.7844757960895019,0.7699867602182813,True,0.20629057234379666,0.021277900118965604,ogd,running
16,0.47346902904757987,0.4728296168994768,0.47328506581256186,0.3552977902565062,0.42498320483954,0.7699867602182813,0.7575608120694076,True,0.18593721208359593,0.017286323418710066,ogd,running
17,0.47081929105561243,0.4701746907735666,0.47361409377058106,0.4047462665034184,0.4794829633325333,0.7575608120694076,0.74673090216267,True,0.16962376388370626,0.014386110637037666,ogd,running
18,0.46862442020630546,0.4679793744168792,0.4707473811344845,0.3407773302280346,0.45715402172270525,0.74673090216267,0.735546132164913,True,0.18293808323928673,0.0167331711496321,ogd,running
19,0.4666823309919496,0.46603462104175347,0.4675995828279948,0.3587970102200449,0.40184763983452093,0.735546132164913,0.7263352247542156,True,0.15694041185882934,0.012315146437209492,ogd,running
20,0.4644167514280771,0.46376635502778935,0.47165454336333673,0.39108737585622255,0.45619520721211176,0.7263352247542156,0.7180680130473109,True,0.14626900179811841,0.010697310443508985,ogd,running
21,0.46328580366478866,0.46263508162157757,0.4661905555140739,0.3428813852354108,0.44111763364066364,0.7180680130473109,0.7094416861898768,True,0.15824271559166914,0.012520378518912943,ogd,running
22,0.46166068767346335,0.46100660928602233,0.46333740204651636,0.3491614635439623,0.3859977139512566,0.7094416861898768,0.702226825152785,True,0.13698477995544078,0.009382414969720266,ogd,running
23,0.4599709569767034,0.4593155879186584,0.463471541114486,0.3893996633899812,0.43150021290760443,0.702226825152785,0.6960051642949736,True,0.12194270814996433,0.007435012035473689,ogd,running
24,0.45886632205460803,0.45820982438891017,0.46040906975493917,0.34118977145204266,0.4259660446101015,0.6960051642949736,0.6893334792374955,True,0.13481881878434854,0.009088056949203505,ogd,running
25,0.45767487302007864,0.45701677525472695,0.45906254487865,0.3627576004629756,0.39227668702382756,0.6893334792374955,0.6837685179156481,True,0.11579603393908167,0.006704360738010477,ogd,running
26,0.45644937753439263,0.455788998275162,0.4571835919612834,0.3758714186211968,0.4286568617710404,0.6837685179156481,0.6785118076349876,True,0.1124341751924518,0.006320721875603472,ogd,running
27,0.45505838810221483,0.45439648596915294,0.45770019631383546,0.3419234550949596,0.409954025643006,0.6785118076349876,0.6730466239079921,True,0.12006492136955349,0.007207792671738531,ogd,running
28,0.45397672768583425,0.45331433005977195,0.455703450877264,0.34890068245096306,0.3791755066483933,0.6730466239079921,0.6683343119723623,True,0.1062244901110847,0.0056418211496799655,ogd,running
29,0.452579176907503,0.451914411460252,0.4540516135797595,0.3690336613867211,0.40567680654877764,0.6683343119723623,0.6640783597657868,True,0.09829250770085218,0.004830708535061043,ogd,running
30,0.45109263522338655,0.4504276918631667,0.4569724640266528,0.3354679270118886,0.39918446528521595,0.6640783597657868,0.659498371295413,True,0.1083027721929013,0.0058647452323337375,ogd,running
31,0.45015927670535744,0.449492224377956,0.45230908893104615,0.32800933617686706,0.35317414393823393,0.659498371295413,0.655535008096732,True,0.09588953421829216,0.004597401386300512,ogd,running
32,0.448857699018792,0.4481896094898117,0.45136853393941817,0.3811376614669951,0.3994935838011546,0.655535008096732,0.6522459567865789,True,0.08129680781347093,0.003304585480330214,ogd,running
33,0.44775548140086896,0.4470857655207762,0.44964771434970335,0.3375849145553556,0.4038206123788335,0.6522459567865789,0.6484087480467875,True,0.09684419421150481,0.004689398976237831,ogd,running
34,0.44657346353407795,0.4459022135280148,0.45278757125745117,0.31627205479405757,0.3419737989912806,0.6484087480467875,0.6449780205558582,True,0.08838126985962513,0.003905624430999941,ogd,running
35,0.44601487119679534,0.4453422751662661,0.44646713488454787,0.38131085853084973,0.39037044178837627,0.6449780205558582,0.6422685520340136,True,0.07115722130711433,0.0025316750720748224,ogd,running
36,0.44462348977881455,0.44394988856580464,0.4502270680120388,0.3280162152096101,0.3927735227711357,0.6422685520340136,0.6389206830375223,True,0.08959202746740091,0.00401336569285976,ogd,running
37,0.444002929318277,0.44332752592663693,0.44736614710411104,0.3420270037392591,0.34762013186250235,0.6389206830375223,0.6363254526726484,True,0.07073678393555238,0.002501846300772511,ogd,running
38,0.4430348111991485,0.44235760501724347,0.44844463758156206,0.3798348229396287,0.3901827955142576,0.6363254526726484,0.6342078861711078,True,0.05870906237113105,0.001723377002248678,ogd,running
39,0.4423606663408066,0.441683339251224,0.43924181976558857,0.35351417976842436,0.3905316228868947,0.6342078861711078,0.6319294314329509,True,0.06421763688299431,0.0020619524434180555,ogd,running
40,0.44067618153852,0.43999574561965554,0.4440180572184214,0.35960372152372794,0.3714026073846767,0.6319294314329509,0.6300106422771734,True,0.054951658589777796,0.00150984239088375,ogd,running
41,0.43986870103098985,0.4391866781830851,0.44256026408213156,0.3537152532400741,0.3854216782048309,0.6300106422771734,0.6279925159862698,True,0.058697669820354736,0.0017227082211696916,ogd,running
42,0.43923131955953637,0.43854886600050086,0.4403151245511124,0.3354673736152156,0.3741898727012245,0.6279925159862698,0.6257499993035811,True,0.0662390947961089,0.0021938088397039507,ogd,running
43,0.43811981617216705,0.43743416122611434,0.44051920705462594,0.34292161738980764,0.3513549654292291,0.6257499993035811,0.6239161277223216,True,0.054988441783052844,0.0015118643648640959,ogd,running
