problem,method,seed,iterations,final_objective,best_objective,final_primal,final_dual,final_rho,rho_changes,final_status,deploy_loss,continuous_loss,teacher_weight_rel_error,wall_time_sec,deploy_rel_error,weight_rel_error,bits,num_blocks
tanh_qat_nonconvex,fixed_rho_0p1,0,100,0.19333235692806688,0.19333235692806688,0.4357248452482378,0.07598928445377828,0.1,0,running,0.20120010880502195,0.1924699302243527,1.204854926235473,0.559240399976261,,,,
tanh_qat_nonconvex,fixed_rho_1,0,100,0.24797733532936672,0.24797733532936672,0.31731061564784346,0.5712677484767049,1.0,0,running,0.2484258469061662,0.2471736374089257,1.17705865781635,0.3875016000238247,,,,
tanh_qat_nonconvex,fixed_rho_10,0,100,0.33792414554146544,0.33792414554146544,0.00030914248012641165,0.06157589429778527,10.0,0,running,0.3364362589943777,0.3365362938643064,1.3326160729783665,0.46069410000927746,,,,
tanh_qat_nonconvex,residual_balance_raw,0,100,0.24797733532936672,0.24797733532936672,0.31731061564784346,0.5712677484767049,1.0,0,running,0.2484258469061662,0.2471736374089257,1.17705865781635,0.4854483000235632,,,,
tanh_qat_nonconvex,residual_balance_normalized,0,100,0.24797733532936672,0.24797733532936672,0.31731061564784346,0.5712677484767049,1.0,0,running,0.2484258469061662,0.2471736374089257,1.17705865781635,0.30521759996190667,,,,
tanh_qat_nonconvex,residual_balance_relative,0,100,0.24797733532936672,0.24797733532936672,0.31731061564784346,0.5712677484767049,1.0,0,running,0.2484258469061662,0.2471736374089257,1.17705865781635,0.20039999997243285,,,,
tanh_qat_nonconvex,online_ogd,0,100,0.2154203899890402,0.2154203899890402,0.334053095056972,0.3473895420486769,0.5856860921942748,100,running,0.22131465499014305,0.2145889811230819,1.1970492594498963,0.23923539998941123,,,,
tanh_qat_nonconvex,online_ogd_task_aware,0,100,0.20774848612016977,0.20774848612016977,0.37098028196371124,0.3448730073797976,0.5633451851314258,100,running,0.21447722450561857,0.20690745315286727,1.2015262231230948,0.24352430005092174,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility,0,100,0.262144842787493,0.262144842787493,0.28426773655970733,0.6687045473679583,1.3568734385616839,100,running,0.2641766053936298,0.2613657162960796,1.1647442191982922,0.41436649998649955,,,,
tanh_qat_nonconvex,online_ogd_task_accept,0,100,0.1949878905863224,0.1949878905863224,0.44185558193814367,0.04143581087656599,0.05638344914745464,100,running,0.20273390879801131,0.19413085638927932,1.206368495905132,0.8425471000373363,,,,
tanh_qat_nonconvex,online_ogd_epoch5,0,100,0.24238125064422572,0.24231684522267183,0.33729110776272825,0.4421472920204983,0.7432502083876825,20,running,0.2435971886089323,0.24157701894919223,1.1794988093314323,0.8548803000012413,,,,
tanh_qat_nonconvex,online_ogd_freeze50,0,100,0.21574785349024736,0.21574785349024736,0.3285298364546513,0.35830033104717895,0.6044057508373969,50,running,0.22164670193858585,0.214917112996428,1.1968127381019984,0.4869571999879554,,,,
tanh_qat_nonconvex,online_ogd_no_dual_rescale,0,100,0.21842418150829906,0.21842418150829906,0.34428313544838773,0.3314406583196929,0.5843912009761573,99,running,0.22147258495500566,0.2175935903217423,1.191121055805975,0.3558286000043154,,,,
tanh_qat_nonconvex,fixed_rho_0p1,1,100,0.2858431234813996,0.2858431234813996,0.4980363986542463,0.08866409718087791,0.1,0,running,0.3006675576281472,0.28484634226692696,1.1642757810044178,0.280296900018584,,,,
tanh_qat_nonconvex,fixed_rho_1,1,100,0.34886921212384053,0.34886921212384053,0.3321794601768862,0.5648244325588798,1.0,0,running,0.3572502079633711,0.34790883778177034,1.1578337474538656,0.3322520999936387,,,,
tanh_qat_nonconvex,fixed_rho_10,1,100,0.5998108461243137,0.5998108461243137,0.00023406430892171107,0.05140025770504723,10.0,0,running,0.5983866661597181,0.5984375363009126,1.2818451284136227,0.44179800001438707,,,,
tanh_qat_nonconvex,residual_balance_raw,1,100,0.34886921212384053,0.34886921212384053,0.3321794601768862,0.5648244325588798,1.0,0,running,0.3572502079633711,0.34790883778177034,1.1578337474538656,0.6839539000065997,,,,
tanh_qat_nonconvex,residual_balance_normalized,1,100,0.34886921212384053,0.34886921212384053,0.3321794601768862,0.5648244325588798,1.0,0,running,0.3572502079633711,0.34790883778177034,1.1578337474538656,1.2789365000207908,,,,
tanh_qat_nonconvex,residual_balance_relative,1,100,0.34886921212384053,0.34886921212384053,0.3321794601768862,0.5648244325588798,1.0,0,running,0.3572502079633711,0.34790883778177034,1.1578337474538656,0.44454330002190545,,,,
tanh_qat_nonconvex,online_ogd,1,100,0.30840817779068114,0.30840817779068114,0.4163873914934265,0.42006027015572445,0.5858419919839277,91,running,0.31946566295226375,0.30741385757043155,1.1623952709503964,1.0185785999638028,,,,
tanh_qat_nonconvex,online_ogd_task_aware,1,100,0.30270694451060226,0.30270694451060226,0.4245298357034123,0.42247541617537776,0.6219522193196604,100,running,0.3114888554538537,0.30169771536087914,1.1602038996050108,0.357686500006821,,,,
tanh_qat_nonconvex,online_ogd_task_feasibility,1,100,0.42492957236268575,0.42492957236268575,0.2657986132389691,0.6453595770513757,1.3987914121842717,100,running,0.42754431394074793,0.42398437350172385,1.1425890274180837,0.409855299978517,,,,
tanh_qat_nonconvex,online_ogd_task_accept,1,100,0.2907905591899448,0.2907905591899448,0.5622264569543647,0.08293993702448227,0.09372228753797252,100,running,0.3159051018532106,0.2897931695283738,1.1665685218434492,0.6167327999719419,,,,
tanh_qat_nonconvex,online_ogd_epoch5,1,100,0.32947624972062045,0.32947624972062045,0.35410935409688166,0.46175836948130045,0.7438988647070478,20,running,0.3332999760405778,0.32850985492167306,1.1620679287723332,0.5354345999658108,,,,
tanh_qat_nonconvex,online_ogd_freeze50,1,100,0.30772196158924225,0.30772196158924225,0.4128692253372853,0.4254625481358897,0.602749152504299,44,running,0.32150263023690245,0.30672466774861595,1.1615823974226451,0.2830104999593459,,,,
tanh_qat_nonconvex,online_ogd_no_dual_rescale,1,100,0.296019379539382,0.296019379539382,0.3876711266457792,0.3888992475039283,0.5815824215131432,95,running,0.3030963571851499,0.2950155751442307,1.162495945363529,0.19510499999159947,,,,
tanh_qat_nonconvex,fixed_rho_0p1,2,100,0.35534586134352086,0.35534586134352086,0.49384616786792407,0.08327626463379544,0.1,0,running,0.3644303462218923,0.3545524243816545,1.039327848978059,0.30231080000521615,,,,
tanh_qat_nonconvex,fixed_rho_1,2,100,0.4108357605196527,0.4108357605196527,0.288372182233444,0.4827690467027352,1.0,0,running,0.41472663485047634,0.41005635724003037,1.0380839178689691,0.19767180003691465,,,,
